#,question_id,answer,question_id,mean_distance_a,relevance_score_a,hallucination_index_by_ml,hallucination_index_by_equation,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a,question_id_q,question,relevance_score_q,vector_distances_q,vector_scores_q,bm25_scores_raw_q,bm25_scores_q,reranked_score_q,ranks_q
10,11,"**Key findings from the study**  - **Women without a prior history of MDD**     - **Chronic medical conditions before midlife** and **perceived role limitations due to physical problems** during follow‑up were independent predictors of a **first‑onset** major depressive episode.     - Medical conditions reported during the follow‑up period did **not** predict subsequent MDD, suggesting that the *subjective impact* of health on functioning is more salient for first‑onset depression.  - **Women with a prior history of MDD**     - **Menopausal status** was the main risk factor: being **peri‑ or post‑menopausal** significantly increased the risk of a **recurrent** MDD episode compared with pre‑menopause.     - Other factors such as anxiety symptoms also predicted recurrence, but chronic medical conditions during follow‑up were not significant.  **Conclusion**   The risk profiles differ: first‑onset depression in midlife is driven mainly by pre‑existing chronic illness and perceived functional limitations, whereas recurrent depression is most strongly linked to the menopausal transition. Thus, risk factors for major depression during midlife are not the same for women with and without a prior history of MDD.",11,53.522,88.0,36.0,0,"[37.624, 39.699, 39.804, 41.456, 45.901, 46.672, 61.977, 37.624, 39.699, 82.811]","[0.884, 0.869, 0.869, 0.857, 0.825, 0.819, 0.709, 0.884, 0.869, 0.558]","[1.767, 0.995, 0.791, 0.767, 0.734, 0.615, 0.469, 1.767, 0.995, 0.266]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",11,['Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?'],55.0,"[33.298, 76.49, 73.811, 79.122, 87.919, 77.929, 86.978, 88.719, 0, 0]","[0.977, 0.808, 0.818, 0.797, 0.763, 0.802, 0.767, 0.76, 0, 0]","[26.25, 20.02, 16.24, 12.65, 13.1, 0, 0, 0, 13.7, 11.47]","[1.312, 1.001, 0.812, 0.632, 0.655, 0, 0, 0, 0.685, 0.573]","[0.979, 0.981, 0.922, 0.973, 0.485, 0.709, 0.592, 0.954, 0.171, 0.913]","[2, 1, 5, 3, 8, 6, 7, 4, 7, 4]"
11,12,"The study from a private center in Buenos Aires, Argentina, examined HIV‑infected patients who were diagnosed in the pre‑HAART era and followed on antiretroviral therapy. Among the cohort, about 50 % were virologically suppressed on a first‑line regimen, 16 % required third‑line therapy, and more than 90 % had a viral load below 200 copies/mL. These findings indicate that, even in a resource‑limited setting, sustained viral suppression is achievable over time. The authors conclude that maintaining viral load suppression is feasible in such environments, supporting the broader implementation of “test‑and‑treat” strategies. Further studies in diverse populations are needed to confirm generalizability.",12,76.765,86.0,33.0,0,"[43.973, 45.337, 48.351, 68.186, 70.219, 74.036, 89.587, 45.337, 108.719, 43.973]","[0.839, 0.829, 0.807, 0.664, 0.649, 0.621, 0.509, 0.829, 0.371, 0.839]","[0.946, 0.705, 0.571, 0.401, 0.389, 0.263, 0.262, 0.705, 0.191, 0.946]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral']",12,['Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?'],51.0,"[54.344, 65.421, 67.562, 77.497, 88.165, 106.98, 118.301, 120.933, 0, 0]","[0.894, 0.851, 0.843, 0.804, 0.762, 0.688, 0.644, 0.634, 0, 0]","[26.3, 21.74, 21.86, 17.95, 18.04, 11.9, 0, 0, 6.91, 6.78]","[1.315, 1.087, 1.093, 0.897, 0.902, 0.595, 0, 0, 0.345, 0.339]","[0.983, 0.997, 0.997, 0.994, 0.996, 0.996, 0.903, 0.912, 0.954, 0.418]","[6, 1, 2, 5, 3, 4, 8, 7, 7, 8]"
12,13,"No. In the study of 30 endomyocardial‑fibrosis patients, quantitative assessment of left‑ventricular wall motion in five segments (anterobasal, anterolateral, apical, infero‑apical, inferobasal) showed no significant difference between pre‑operative and post‑operative values. The mean wall‑motion scores (in standard‑deviation units) were essentially unchanged (e.g., AB: –0.78 ± 0.25 pre vs –0.96 ± 0.24 post, p = 0.559; A: –1.84 ± 0.31 pre vs –1.94 ± 0.34 post, p = 0.732). Likewise, the global left‑ventricular ejection fraction remained unchanged (0.45 ± 0.13 % pre vs 0.43 ± 0.12 % post). Thus, fibrous‑tissue resection does not alter quantitative regional wall motion, even though patients often experience symptomatic improvement.",13,55.993,93.0,34.0,0,"[32.762, 37.82, 43.766, 45.136, 46.709, 47.31, 48.878, 59.078, 66.645, 69.114, 73.572, 74.94, 82.178]","[0.92, 0.883, 0.84, 0.83, 0.819, 0.814, 0.803, 0.729, 0.675, 0.657, 0.625, 0.615, 0.563]","[1.316, 0.733, 0.541, 0.526, 0.381, 0.361, 0.275, 0.259, 0.236, 0.196, 0.175, 0.141, 0.125]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",13,['Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?'],42.0,"[29.992, 37.946, 38.624, 35.436, 41.523, 63.626, 44.713, 81.442, 65.215, 87.004, 99.165, 97.97, 111.618]","[0.99, 0.959, 0.956, 0.969, 0.945, 0.858, 0.932, 0.788, 0.852, 0.767, 0.719, 0.724, 0.67]","[32.34, 28.46, 28.5, 25.1, 23.7, 25.03, 23.21, 19.61, 17.44, 15.43, 16.01, 13.97, 0]","[1.617, 1.423, 1.425, 1.255, 1.185, 1.252, 1.16, 0.98, 0.872, 0.771, 0.801, 0.699, 0]","[0.872, 0.99, 0.981, 0.993, 0.989, 0.969, 0.988, 0.984, 0.678, 0.988, 0.99, 0.991, 0.163]","[11, 3, 9, 1, 5, 10, 6, 8, 12, 7, 4, 2, 13]"
13,14,"The study examined whether the ACE‑1 insertion/deletion (I/D) polymorphism is associated with chronic kidney disease (CKD) in hypertensive patients. Genotyping revealed the DD genotype in 34.4 % of CKD cases versus 28.6 % of controls, with the D allele present in 53.4 % of cases and 47.9 % of controls. Logistic regression showed an odds ratio (OR) of 1.25 (95 % CI 0.86–1.79) for CKD in carriers of the D allele, and an OR of 1.42 (95 % CI 0.72–2.81) for the DD genotype versus the II genotype. Although the DD genotype was associated with a higher risk, the association did not reach statistical significance. The authors concluded that the ACE‑DD genotype may be a risk factor for the development of CKD among hypertensive patients, but further studies are needed to confirm this relationship.",14,63.689,89.0,33.0,0,"[35.361, 40.046, 43.449, 48.729, 60.803, 62.74, 84.47, 96.966, 35.361]","[0.901, 0.867, 0.842, 0.804, 0.717, 0.703, 0.546, 0.456, 0.901]","[1.086, 0.79, 0.773, 0.754, 0.309, 0.164, 0.162, 0.144, 1.086]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",14,['Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?'],53.0,"[48.056, 36.77, 53.77, 70.787, 76.206, 0, 96.137, 0, 0]","[0.919, 0.963, 0.897, 0.83, 0.809, 0, 0.731, 0, 0]","[26.47, 21.58, 20.43, 19.21, 18.04, 18.12, 0, 14.35, 13.93]","[1.323, 1.079, 1.021, 0.961, 0.902, 0.906, 0, 0.718, 0.697]","[0.972, 0.947, 0.994, 0.271, 0.994, 0.162, 0.624, 0.103, 0.617]","[3, 4, 1, 6, 2, 7, 5, 8, 5]"
14,15,"Yes. In the retrospective study of Thai patients after acute myocardial infarction, non‑high‑density lipoprotein cholesterol (non‑HDL‑C) proved to be a superior predictor of long‑term major adverse cardiovascular events (MACEs) compared with low‑density lipoprotein cholesterol (LDL‑C).    Key findings from the article:    - **Non‑HDL‑C target attainment**: Only 34 % of patients reached the non‑HDL‑C goal (< 100 mg/dL). Failure to achieve this target was independently associated with a higher risk of long‑term MACEs (adjusted HR ≈ 3.15, 95 % CI 1.46–6.80).   - **LDL‑C target attainment**: 24 % of patients reached the LDL‑C goal (< 70 mg/dL). Non‑attainment of the LDL‑C goal was **not** linked to increased long‑term MACE risk (adjusted HR ≈ 0.42, 95 % CI 0.18–0.98).   - The study concluded that non‑HDL‑C is a more accurate predictor of long‑term outcomes and should be used as a therapeutic target in post‑AMI patients.  Thus, the evidence in this cohort supports that non‑HDL‑C is a better long‑term outcome predictor than LDL‑C.",15,60.37,84.0,34.0,0,"[24.278, 38.288, 49.541, 52.956, 54.33, 61.825, 38.288, 24.278, 67.0, 49.541, 88.224, 88.574]","[0.981, 0.88, 0.798, 0.774, 0.764, 0.71, 0.88, 0.981, 0.672, 0.798, 0.519, 0.516]","[1.272, 1.037, 0.866, 0.861, 0.855, 0.829, 1.037, 1.272, 0.66, 0.866, 0.402, 0.345]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",15,['Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?'],48.0,"[49.349, 102.455, 101.99, 108.319, 90.085, 0, 0, 89.415, 0, 104.086, 113.71, 116.044]","[0.914, 0.706, 0.708, 0.683, 0.754, 0, 0, 0.757, 0, 0.7, 0.662, 0.653]","[30.91, 18.46, 17.92, 17.45, 15.95, 15.55, 15.33, 0, 14.42, 0, 0, 0]","[1.545, 0.923, 0.896, 0.872, 0.798, 0.778, 0.766, 0, 0.721, 0, 0, 0]","[0.99, 0.132, 0.983, 0.93, 0.429, 0.982, 0.148, 0.226, 0.52, 0.957, 0.981, 0.986]","[1, 9, 3, 6, 7, 2, 8, 8, 5, 5, 4, 2]"
15,16,"Yes.  The study shows that during pregnancy the spiny mouse alters several aspects of creatine metabolism to meet the increased demands of maternal tissues, the placenta and the fetus.  Key findings include:  * **Lower plasma creatine** and **reduced urinary creatine excretion** from mid‑ to late gestation.   * **Increased renal AGAT** mRNA and protein at term, indicating enhanced endogenous creatine synthesis.   * **Higher creatine content** in the maternal heart and kidney, while brain CrT1 expression falls and gastrocnemius CrT1 rises, reflecting tissue‑specific redistribution.   * **Decreased liver GAMT protein** (though liver size increases), suggesting a shift in the site of synthesis.  These coordinated changes—enhanced synthesis, altered transport, and tissue‑specific retention—support the hypothesis that maternal creatine homeostasis is deliberately modified as a metabolic adaptation to pregnancy.",16,43.503,97.0,31.0,0,"[34.77, 37.199, 39.34, 45.236, 45.699, 49.064, 53.214]","[0.905, 0.888, 0.872, 0.829, 0.826, 0.802, 0.772]","[0.652, 0.465, 0.436, 0.415, 0.404, 0.402, 0.344]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",16,['Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?'],53.0,"[65.837, 72.493, 93.089, 87.277, 44.572, 76.365, 102.424]","[0.849, 0.823, 0.743, 0.765, 0.933, 0.808, 0.706]","[18.19, 17.7, 18.31, 13.31, 0, 0, 0]","[0.91, 0.885, 0.915, 0.665, 0, 0, 0]","[0.443, 0.985, 0.881, 0.608, 0.737, 0.995, 0.856]","[7, 2, 3, 6, 5, 1, 4]"
16,17,"Yes.  The study shows that linear anorectal endosonography can clearly visualise the anal sphincter, the puborectalis muscle and other pelvic‑floor structures.  It allows accurate measurement of length and thickness at rest and during dynamic maneuvers.  In 85 % of dyschesia patients the anal sphincter became paradoxically shorter or thicker during straining, and in 80 % the puborectalis did the same—changes that were far less common in healthy controls (35 % and 30 % respectively).  These findings demonstrate incomplete or absent relaxation of the sphincter and puborectalis in the majority of dyschesia patients, confirming the technique’s value for diagnosing pelvic‑floor dyssynergia (anismus).  The authors conclude that linear anorectal endosonography is a safe, easy, and valuable tool for evaluating dyschesia.",17,63.495,90.0,32.0,0,"[27.02, 41.276, 50.086, 53.654, 53.789, 60.199, 63.175, 63.35, 71.644, 80.564, 84.041, 63.35, 41.276]","[0.961, 0.858, 0.794, 0.769, 0.768, 0.721, 0.7, 0.699, 0.639, 0.574, 0.549, 0.699, 0.858]","[0.93, 0.771, 0.615, 0.525, 0.503, 0.39, 0.358, 0.333, 0.307, 0.214, 0.213, 0.333, 0.771]","['neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",17,['Is anorectal endosonography valuable in dyschesia?'],66.0,"[66.174, 77.25, 95.353, 109.429, 137.385, 137.824, 140.418, 145.476, 125.331, 128.952, 137.484, 0, 0]","[0.848, 0.805, 0.734, 0.679, 0.569, 0.567, 0.557, 0.537, 0.616, 0.602, 0.569, 0, 0]","[11.65, 12.46, 10.92, 8.89, 7.25, 6.06, 6.09, 5.8, 0, 0, 0, 5.28, 4.83]","[0.582, 0.623, 0.546, 0.444, 0.362, 0.303, 0.304, 0.29, 0, 0, 0, 0.264, 0.241]","[0.996, 0.993, 0.995, 0.995, 0.985, 0.985, 0.773, 0.993, 0.803, 0.992, 0.99, 0.405, 0.209]","[1, 4, 2, 3, 8, 9, 11, 5, 10, 6, 7, 8, 10]"
17,18,"**Effect of the “Smoking in Movies” counter‑industry ad (Out of the Smokescreen II)**    - **Non‑smokers:** The 30‑second ad, styled as a movie trailer warning viewers not to be “sucked in” by on‑screen smoking, increased negative attitudes toward smoking in the film. 47.8 % of non‑smokers in the intervention group judged the movie’s smoking as “not OK” versus 43.8 % in the control group (p = 0.04).   - **Smokers:** The ad did **not** change smokers’ attitudes toward the movie’s smoking.  Moreover, a higher proportion of smokers in the intervention group reported they were *unlikely* to smoke in 12 months compared with the control group, suggesting a possible “boomerang” effect that could reinforce smokers’ intentions.   - **Overall:** The advertisement effectively “immunised” young non‑smokers against the influence of film stars smoking but had no beneficial effect on smokers and may have unintentionally increased their stated intention to smoke.",18,63.485,88.0,37.0,0,"[49.213, 50.802, 56.203, 58.345, 60.529, 60.623, 58.345, 60.529, 70.14, 71.726, 74.457, 83.113]","[0.801, 0.789, 0.75, 0.735, 0.719, 0.718, 0.735, 0.719, 0.65, 0.638, 0.618, 0.556]","[0.898, 0.788, 0.731, 0.659, 0.588, 0.505, 0.659, 0.588, 0.348, 0.28, 0.227, 0.181]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",18,"[""Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?""]",47.0,"[37.847, 69.844, 71.384, 71.243, 79.735, 75.029, 74.325, 0, 0, 69.726, 0, 71.554]","[0.959, 0.834, 0.828, 0.828, 0.795, 0.813, 0.816, 0, 0, 0.834, 0, 0.827]","[32.8, 23.18, 20.83, 20.66, 19.81, 19.32, 18.6, 18.84, 17.99, 0, 16.68, 0]","[1.64, 1.159, 1.042, 1.033, 0.991, 0.966, 0.93, 0.942, 0.9, 0, 0.834, 0]","[0.152, 0.951, 0.835, 0.994, 0.762, 0.849, 0.855, 0.874, 0.171, 0.204, 0.861, 0.407]","[9, 2, 5, 1, 6, 4, 3, 4, 10, 8, 5, 7]"
18,19,"No. The study shows that a single, uniform pre‑operative hemoglobin (Hb) target is not appropriate for all patients undergoing primary knee arthroplasty (TKA). Instead, the optimal Hb level should be individualized. Two readily available factors— the American Society of Anesthesiology (ASA) score and the patient’s baseline Hb—can guide this tailoring. Patients with a higher ASA score (III/IV) or a lower baseline Hb have a greater risk of transfusion and may benefit from a higher pre‑operative Hb target, whereas those with lower ASA scores (I/II) and higher baseline Hb can tolerate a lower target. Thus, the study concludes that not all patients need the same Hb optimization target; using ASA status and baseline Hb helps determine the appropriate individualized goal.",19,72.506,84.0,32.0,0,"[46.669, 53.932, 70.209, 79.393, 46.669, 84.44, 91.216]","[0.819, 0.767, 0.649, 0.583, 0.819, 0.546, 0.497]","[0.862, 0.817, 0.672, 0.643, 0.862, 0.272, 0.116]","['neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'entailment']",19,['Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?'],60.0,"[32.552, 86.124, 89.525, 93.962, 96.559, 114.042, 0]","[0.98, 0.77, 0.757, 0.739, 0.729, 0.661, 0]","[22.73, 17.26, 13.84, 11.34, 11.0, 10.29, 8.15]","[1.136, 0.863, 0.692, 0.567, 0.55, 0.515, 0.408]","[0.982, 0.674, 0.97, 0.116, 0.995, 0.594, 0.988]","[2, 4, 3, 6, 1, 5, 2]"
19,20,"Yes. In the ERP study, emotional prosody was processed both when the voice was attended and when it was unattended. However, the influence of spatial attention differed over time:  * **Early stage (< 200 ms, e.g., N1)** – Spatial attention interacted with emotional prosody. The amplitude of the N1 component varied with both the emotional valence of the voice and whether it was presented at the attended location. This shows that attention modulates the initial sensory processing of affective prosody.  * **Later stage (> 200 ms)** – The effects of emotional prosody and spatial attention became additive, indicating that later processing of affective prosody occurs largely independent of spatial attention.  Thus, spatial attention does influence the processing of affective prosody, but mainly at early sensory stages; later stages of processing are largely unaffected by where attention is directed.",20,61.734,90.0,31.0,0,"[34.576, 42.369, 45.612, 47.019, 51.834, 59.082, 63.623, 63.863, 64.529, 66.087, 66.497, 66.74, 67.168, 64.529, 66.087, 67.168]","[0.906, 0.85, 0.827, 0.817, 0.782, 0.729, 0.697, 0.695, 0.69, 0.679, 0.676, 0.674, 0.671, 0.69, 0.679, 0.671]","[1.006, 0.923, 0.727, 0.546, 0.43, 0.381, 0.371, 0.358, 0.352, 0.348, 0.344, 0.318, 0.31, 0.352, 0.348, 0.31]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",20,['Is the processing of affective prosody influenced by spatial attention?'],66.0,"[56.342, 96.48, 65.337, 88.934, 111.409, 90.431, 100.929, 108.883, 105.2, 108.054, 103.268, 107.817, 109.264, 0, 0, 0]","[0.887, 0.729, 0.851, 0.759, 0.671, 0.753, 0.712, 0.681, 0.695, 0.684, 0.703, 0.685, 0.679, 0, 0, 0]","[14.14, 12.37, 8.38, 10.16, 10.18, 8.31, 8.83, 9.31, 8.76, 8.64, 0, 0, 0, 8.39, 8.23, 8.13]","[0.707, 0.619, 0.419, 0.508, 0.509, 0.416, 0.441, 0.465, 0.438, 0.432, 0, 0, 0, 0.419, 0.411, 0.406]","[0.994, 0.996, 0.99, 0.981, 0.99, 0.653, 0.371, 0.997, 0.735, 0.977, 0.995, 0.988, 0.992, 0.448, 0.916, 0.897]","[4, 2, 6, 9, 7, 12, 13, 1, 11, 10, 3, 8, 5, 13, 9, 10]"
20,21,"**Answer**  Yes. In the post‑hoc analysis of 134 patients with LA C or D reflux oesophagitis treated with esomeprazole, the relationship between the proportion of time with intragastric pH > 4 and healing was non‑linear. The curve peaked when pH > 4 was achieved for **≈ 50–70 % of the 24‑hour period (12–17 h)**. Beyond this threshold, additional acid suppression did **not** increase healing rates. Thus, an optimal time of acid suppression for maximal healing is about 12–17 h per day.",21,64.946,92.0,33.0,0,"[30.97, 47.713, 52.817, 56.393, 64.849, 66.883, 70.061, 77.41, 78.272, 77.41, 78.272]","[0.933, 0.812, 0.775, 0.749, 0.688, 0.673, 0.65, 0.597, 0.591, 0.597, 0.591]","[0.638, 0.569, 0.487, 0.478, 0.253, 0.181, 0.173, 0.162, 0.128, 0.162, 0.128]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",21,['A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?'],50.0,"[50.018, 33.997, 75.474, 91.558, 98.954, 87.509, 94.043, 94.387, 0, 98.386, 0]","[0.911, 0.974, 0.812, 0.749, 0.72, 0.765, 0.739, 0.738, 0, 0.722, 0]","[27.48, 25.75, 21.9, 21.1, 20.09, 12.91, 12.75, 0, 14.74, 0, 13.46]","[1.374, 1.287, 1.095, 1.055, 1.004, 0.645, 0.638, 0, 0.737, 0, 0.673]","[0.631, 0.79, 0.97, 0.542, 0.986, 0.972, 0.112, 0.136, 0.491, 0.793, 0.111]","[6, 5, 3, 7, 1, 2, 9, 8, 7, 4, 9]"
21,22,"Yes. The study found that women with pelvic organ prolapse who experience pelvic pain also report a higher frequency of defecatory‑dysfunction symptoms.  After adjusting for age, prolapse grade, and site, every 10‑point increase in the CRADI‑8 score (a measure of prolapse‑related symptoms) raised the odds of pelvic pain by about 1.6 times.  Individual bowel symptoms such as pain with bowel movements, fecal urgency, a sense of incomplete evacuation, splinting during defecation, and straining were all significantly linked to pelvic pain.  Even the sensation of tissue bulging through the rectum and flatus incontinence showed weak associations, while incontinence of solid stool was not related.  Thus, except for solid‑stool incontinence, all measured defecatory symptoms were associated with pelvic pain in women with pelvic organ prolapse.",22,35.736,99.0,40.0,0,"[15.453, 29.539, 29.897, 48.602, 55.189]","[1.045, 0.943, 0.94, 0.805, 0.758]","[0.831, 0.701, 0.417, 0.344, 0.119]","['entailment', 'neutral', 'neutral', 'neutral', 'neutral']",22,['Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?'],52.0,"[50.843, 50.401, 74.725, 72.545, 0]","[0.908, 0.91, 0.815, 0.823, 0]","[22.23, 22.11, 17.28, 16.6, 15.46]","[1.112, 1.106, 0.864, 0.83, 0.773]","[0.715, 0.919, 0.914, 0.989, 0.154]","[4, 2, 3, 1, 5]"
22,23,"Yes.   The study found that complex coronary lesions—specifically bifurcation and ostial lesions—occurred significantly more often in patients with diabetes mellitus (DM) than in non‑diabetics.    **Key findings**   - **Bifurcation lesions**: 9.8 % in diabetics vs. 4.3 % in non‑diabetics (p = 0.001).   - **Ostial lesions**: 38.4 % in diabetics vs. 29.2 % in non‑diabetics (p = 0.003).   - Multivariate analysis showed DM was an independent predictor:     - Bifurcation lesion OR = 2.27 (p = 0.004).     - Ostial lesion OR = 1.40 (p = 0.027).    Thus, complex coronary lesions are indeed more frequent in patients with diabetes mellitus.",23,58.464,93.0,29.0,0,"[24.087, 28.282, 36.051, 49.251, 59.229, 59.782, 59.958, 59.782, 59.958, 75.594, 117.127]","[0.982, 0.952, 0.896, 0.8, 0.728, 0.724, 0.723, 0.724, 0.723, 0.61, 0.31]","[0.636, 0.461, 0.454, 0.419, 0.402, 0.397, 0.341, 0.397, 0.341, 0.2, 0.124]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction']",23,['Are complex coronary lesions more frequent in patients with diabetes mellitus?'],64.0,"[69.591, 81.322, 58.545, 88.527, 103.859, 82.485, 103.062, 0, 0, 0, 0]","[0.835, 0.789, 0.878, 0.761, 0.7, 0.784, 0.704, 0, 0, 0, 0]","[16.35, 13.75, 11.83, 11.44, 11.92, 0, 0, 13.01, 10.52, 7.66, 7.51]","[0.817, 0.688, 0.591, 0.572, 0.596, 0, 0, 0.65, 0.526, 0.383, 0.376]","[0.992, 0.995, 0.991, 0.99, 0.625, 0.972, 0.746, 0.662, 0.88, 0.983, 0.738]","[2, 1, 3, 4, 7, 5, 6, 9, 7, 4, 8]"
23,24,"**Key finding:**   In this pilot study, chronic low‑back‑pain (CLBP) patients performed a hand‑function task more slowly and with poorer accuracy than healthy controls. When the task was performed in a “provoking” position (lying prone without trunk support) that was designed to elicit pain‑related thoughts, 54 % of the patients showed further deterioration, whereas healthy subjects’ performance stayed unchanged.    **Interpretation:**   The results suggest that pain‑related cognitions—particularly the anticipation or fear of pain—can worsen motor performance even in tasks that do not directly involve the back. Thus, CLBP patients’ motor deficits are not solely due to physical pain or altered motor strategy; cognitive factors also play a significant role.",24,63.813,91.0,32.0,0,"[39.972, 50.305, 53.46, 54.397, 58.289, 67.435, 70.186, 75.406, 54.397, 75.406]","[0.867, 0.793, 0.77, 0.763, 0.735, 0.669, 0.649, 0.611, 0.763, 0.611]","[0.627, 0.57, 0.542, 0.537, 0.494, 0.294, 0.227, 0.195, 0.537, 0.195]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']",24,['Motor performance in chronic low back pain: is there an influence of pain-related cognitions?'],55.0,"[43.663, 66.138, 70.258, 79.336, 44.539, 81.258, 94.482, 0, 94.64, 0]","[0.936, 0.848, 0.832, 0.797, 0.933, 0.789, 0.737, 0, 0.737, 0]","[22.71, 21.38, 17.64, 17.4, 13.85, 14.59, 14.54, 16.01, 0, 14.65]","[1.135, 1.069, 0.882, 0.87, 0.693, 0.729, 0.727, 0.801, 0, 0.732]","[0.247, 0.85, 0.991, 0.984, 0.971, 0.98, 0.868, 0.626, 0.135, 0.981]","[7, 6, 1, 2, 4, 3, 5, 7, 8, 3]"
24,25,"**Key finding**  Infliximab was associated with a higher risk of serious infections requiring hospitalization or opportunistic infections compared with etanercept, but this excess risk varied mainly by age.  **Age‑specific risk**  | Time after initiation | < 65 yrs (adjusted HR) | ≥ 65 yrs (adjusted HR) | |-----------------------|------------------------|------------------------| | 0–3 months | 3.01 (1.49, 6.07) | 0.94 (0.41, 2.13) | | 0–6 months | 1.95 (1.02, 3.71) | 1.07 (0.55, 2.11) | | 0–12 months | 1.18 (0.67, 2.09) | 0.91 (0.53, 1.56) |  The elevated risk was most pronounced in the first 3 months and largely confined to patients younger than 65 years; no significant age interaction was seen beyond that period.  **Other characteristics**  Analyses of sex, race/ethnicity, body‑mass index, and smoking status showed no statistically significant modification of the infliximab‑vs‑etanercept hazard ratio. The overall adjusted HR for serious infections was 1.91 (1.10, 3.34) in the first 3 months, decreasing to 1.13 (0.80, 1.60) over 12 months.  **Conclusion**  The comparative safety difference between infliximab and etanercept for serious infections is primarily driven by age, with younger patients (<65 yrs) experiencing a higher risk after initiating infliximab. No other patient characteristics examined modified this association.",25,51.347,88.0,33.0,0,"[33.509, 41.222, 41.344, 44.927, 45.122, 48.854, 49.909, 52.778, 53.334, 54.193, 45.122]","[0.914, 0.858, 0.858, 0.832, 0.83, 0.803, 0.796, 0.775, 0.771, 0.765, 0.83]","[1.233, 1.222, 1.19, 0.88, 0.784, 0.672, 0.518, 0.513, 0.475, 0.268, 0.784]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",25,['Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?'],63.0,"[36.412, 51.386, 69.848, 68.209, 73.528, 71.082, 69.32, 74.52, 74.124, 75.668, 0]","[0.965, 0.906, 0.834, 0.84, 0.819, 0.829, 0.836, 0.815, 0.817, 0.811, 0]","[14.15, 15.11, 15.97, 14.28, 13.01, 12.39, 11.8, 10.05, 0, 0, 10.19]","[0.708, 0.755, 0.798, 0.714, 0.65, 0.62, 0.59, 0.502, 0, 0, 0.51]","[0.985, 0.904, 0.995, 0.985, 0.993, 0.982, 0.591, 0.998, 0.991, 0.99, 0.995]","[6, 9, 2, 7, 3, 8, 10, 1, 4, 5, 3]"
