mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,vector_reranked_scores,bm25_reranked_scores
162.351,51.0,73.0,"[134.618, 139.138, 140.596, 141.333, 175.425, 179.975, 189.661, 198.059]","[0.602, 0.587, 0.582, 0.58, 0.468, 0.453, 0.421, 0.394]","[1.627, 0.859, 0.073]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['entailment'], ['entailment'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
73.966,80.0,0,"[57.205, 59.303, 68.099, 68.22, 72.2, 81.278, 83.79, 101.632]","[0.856, 0.849, 0.821, 0.82, 0.807, 0.777, 0.769, 0.71]","[1.835, 1.835, 1.835, 0.751, 0.751, 0.751]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]"
241.53,25.0,61.0,"[206.071, 238.019, 239.866, 282.164]","[0.367, 0.262, 0.256, 0.117]","[2.731, 2.358]","[['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
266.933,17.0,57.0,"[221.695, 277.497, 301.606]","[0.316, 0.133, 0.053]","[0.356]","[['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
196.928,40.0,41.0,"[130.843, 144.079, 175.079, 177.357, 185.255, 202.467, 202.88, 206.702, 214.98, 216.179, 217.011, 221.833, 265.396]","[0.614, 0.571, 0.469, 0.462, 0.436, 0.379, 0.378, 0.365, 0.338, 0.334, 0.331, 0.315, 0.172]","[2.191, 0.263]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
155.023,53.0,27.0,"[119.243, 134.047, 144.356, 150.311, 154.68, 158.774, 163.504, 175.643, 194.653]","[0.653, 0.604, 0.57, 0.55, 0.536, 0.523, 0.507, 0.467, 0.405]","[0.947, 0.743, 0.716]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
226.699,30.0,32.0,"[226.699]","[0.299]","[0.97, 0.348]","[['neutral']]","[['contradiction'], ['contradiction']]"
163.334,51.0,36.0,"[77.206, 118.649, 150.352, 182.323, 194.641, 200.38, 219.784]","[0.791, 0.654, 0.55, 0.445, 0.405, 0.386, 0.322]","[4.329, 0.896]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
222.919,31.0,61.0,"[154.908, 189.242, 227.015, 235.531, 241.26, 245.124, 267.351]","[0.535, 0.423, 0.298, 0.27, 0.252, 0.239, 0.166]","[1.11, 0.238]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment']]","[['neutral'], ['entailment']]"
205.529,37.0,62.0,"[94.349, 138.638, 165.878, 168.386, 214.968, 217.603, 221.107, 231.644, 239.183, 261.312, 307.749]","[0.734, 0.589, 0.499, 0.491, 0.338, 0.329, 0.318, 0.283, 0.258, 0.186, 0.033]","[3.133, 0.812, 0.428]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
158.13,52.0,22.0,"[115.736, 128.48, 135.867, 144.437, 148.846, 154.619, 166.434, 173.516, 176.632, 178.986, 179.524, 194.485]","[0.664, 0.622, 0.598, 0.57, 0.555, 0.536, 0.497, 0.474, 0.464, 0.456, 0.454, 0.405]","[3.663, 2.544, 1.343]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
257.884,20.0,88.0,"[245.558, 245.675, 258.852, 265.375, 273.962]","[0.237, 0.237, 0.194, 0.172, 0.144]","[0.661, 0.251]","[['neutral'], ['contradiction'], ['neutral'], ['entailment'], ['neutral']]","[['entailment'], ['neutral']]"
148.261,56.0,17.0,"[98.008, 147.101, 152.655, 156.992, 166.28, 168.529]","[0.722, 0.561, 0.543, 0.528, 0.498, 0.491]","[1.193, 1.027]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
149.14,55.0,18.0,"[124.893, 126.689, 148.134, 150.881, 156.729, 162.726, 173.931]","[0.634, 0.628, 0.558, 0.549, 0.529, 0.51, 0.473]","[1.911, 1.846, 1.688]","[['neutral'], ['entailment'], ['contradiction'], ['entailment'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
236.652,27.0,52.0,"[191.678, 191.875, 204.218, 210.779, 243.168, 291.275, 323.573]","[0.415, 0.414, 0.373, 0.352, 0.245, 0.087, -0.019]","[0.795]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
197.933,39.0,42.0,"[171.134, 184.52, 186.269, 187.885, 190.829, 193.848, 207.949, 261.032]","[0.482, 0.438, 0.432, 0.427, 0.417, 0.407, 0.361, 0.187]","[2.732, 1.004, 0.805]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
132.959,61.0,64.0,"[76.333, 145.907, 154.511, 155.087]","[0.794, 0.565, 0.537, 0.535]","[1.715, 1.58]","[['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['neutral'], ['neutral']]"
264.439,18.0,92.0,"[160.306, 368.571]","[0.518, -0.167]","[2.773, 0.145]","[['neutral'], ['contradiction']]","[['neutral'], ['contradiction']]"
155.332,53.0,27.0,"[88.506, 89.299, 96.807, 125.87, 136.592, 137.286, 139.762, 156.355, 165.032, 167.393, 261.777, 299.3]","[0.754, 0.751, 0.726, 0.631, 0.596, 0.593, 0.585, 0.531, 0.502, 0.494, 0.184, 0.061]","[2.236, 0.985, 0.435]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
166.546,50.0,32.0,"[129.058, 142.677, 144.323, 152.373, 180.125, 185.633, 186.533, 211.643]","[0.62, 0.576, 0.57, 0.544, 0.452, 0.434, 0.431, 0.349]","[1.694, 1.212, 0.621]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
202.895,38.0,48.0,"[202.895]","[0.378]","[0.674, 0.36]","[['contradiction']]","[['neutral'], ['neutral']]"
136.638,60.0,24.0,"[98.883, 113.278, 115.812, 124.358, 124.818, 142.266, 144.837, 150.009, 155.754, 162.638, 170.366]","[0.719, 0.672, 0.664, 0.636, 0.634, 0.577, 0.568, 0.551, 0.533, 0.51, 0.485]","[1.849, 0.718]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
395.711,0,100,"[306.994, 374.942, 384.963, 413.48, 422.171, 430.255, 437.172]","[0.036, -0.188, -0.221, -0.314, -0.343, -0.369, -0.392]","[1.381]","[['entailment'], ['neutral'], ['entailment'], ['neutral'], ['entailment'], ['neutral'], ['neutral']]","[['neutral']]"
158.138,52.0,30.0,"[133.328, 150.254, 159.461, 173.413, 174.234]","[0.606, 0.551, 0.52, 0.475, 0.472]","[0.832]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
132.374,61.0,24.0,"[110.373, 111.15, 112.977, 116.34, 116.513, 121.687, 124.848, 125.102, 131.079, 133.468, 139.399, 155.031, 156.567, 198.696]","[0.682, 0.679, 0.673, 0.662, 0.661, 0.644, 0.634, 0.633, 0.614, 0.606, 0.586, 0.535, 0.53, 0.391]","[1.534, 0.999, 0.97]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment']]","[['neutral'], ['neutral'], ['entailment']]"
113.953,67.0,8.0,"[105.789, 106.054, 121.785, 122.184]","[0.697, 0.696, 0.644, 0.643]","[1.612, 1.351]","[['neutral'], ['entailment'], ['neutral'], ['neutral']]","[['neutral'], ['contradiction']]"
281.245,12.0,58.0,"[241.372, 259.436, 260.672, 280.553, 283.751, 284.101, 286.069, 289.711, 298.302, 328.485]","[0.251, 0.192, 0.188, 0.122, 0.112, 0.111, 0.104, 0.092, 0.064, -0.035]","[1.251, 0.707, 0.319]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
108.331,69.0,15.0,"[55.92, 90.524, 90.903, 107.723, 118.49, 130.996, 135.528, 136.561]","[0.861, 0.747, 0.746, 0.69, 0.655, 0.614, 0.599, 0.596]","[1.816, 1.259, 1.041]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
200.068,39.0,39.0,"[153.167, 154.187, 167.331, 173.169, 186.331, 192.154, 199.404, 210.5, 211.469, 243.224, 243.665, 266.218]","[0.541, 0.538, 0.495, 0.475, 0.432, 0.413, 0.389, 0.353, 0.349, 0.245, 0.244, 0.17]","[2.045, 0.338]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction']]"
253.393,21.0,53.0,"[171.461, 186.952, 292.255, 304.529, 311.77]","[0.481, 0.43, 0.084, 0.044, 0.02]","[1.92, 0.644]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
111.094,68.0,13.0,"[72.361, 86.209, 96.816, 103.928, 109.131, 113.599, 120.906, 120.919, 121.102, 128.306, 148.752]","[0.807, 0.761, 0.726, 0.703, 0.686, 0.671, 0.647, 0.647, 0.646, 0.623, 0.556]","[2.873, 1.75]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
226.291,30.0,64.0,"[160.51, 181.156, 195.621, 207.804, 242.336, 260.84, 261.0, 261.47, 265.88]","[0.517, 0.449, 0.402, 0.362, 0.248, 0.187, 0.187, 0.185, 0.171]","[0.556, 0.554, 0.28]","[['contradiction'], ['neutral'], ['neutral'], ['entailment'], ['contradiction'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral']]","[['neutral'], ['contradiction'], ['neutral']]"
177.658,46.0,40.0,"[139.166, 157.406, 161.814, 177.359, 179.123, 185.619, 186.459, 201.637, 210.337]","[0.587, 0.527, 0.513, 0.462, 0.456, 0.434, 0.432, 0.382, 0.353]","[1.026]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
169.012,49.0,35.0,"[111.557, 118.081, 132.529, 153.158, 156.459, 172.909, 188.617, 190.518, 231.913, 234.38]","[0.678, 0.656, 0.609, 0.541, 0.53, 0.476, 0.425, 0.418, 0.282, 0.274]","[1.143, 0.831]","[['contradiction'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
99.663,72.0,2.0,"[60.869, 61.375, 78.583, 79.613, 84.348, 103.826, 124.188, 148.311, 155.857]","[0.844, 0.843, 0.786, 0.783, 0.767, 0.703, 0.636, 0.557, 0.532]","[1.022, 0.815, 0.771]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
246.254,24.0,46.0,"[188.404, 224.34, 252.058, 281.018, 285.45]","[0.425, 0.307, 0.216, 0.121, 0.106]","[0.746, 0.209]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
107.165,69.0,8.0,"[104.045, 106.7, 107.313, 110.6]","[0.702, 0.694, 0.692, 0.681]","[2.081, 1.452]","[['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
158.815,52.0,21.0,"[121.08, 134.289, 134.431, 165.403, 172.456, 175.385, 208.658]","[0.646, 0.603, 0.603, 0.501, 0.478, 0.468, 0.359]","[1.85, 1.183]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
122.979,64.0,17.0,"[94.355, 97.62, 102.468, 105.16, 109.598, 121.529, 125.257, 130.03, 135.008, 135.375, 141.442, 147.36, 153.531]","[0.734, 0.724, 0.708, 0.699, 0.684, 0.645, 0.633, 0.617, 0.601, 0.6, 0.58, 0.56, 0.54]","[2.548, 1.349, 0.913]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
152.849,54.0,27.0,"[80.183, 125.135, 129.646, 135.086, 151.736, 194.84, 196.329, 209.833]","[0.781, 0.633, 0.618, 0.6, 0.546, 0.404, 0.399, 0.355]","[0.891, 0.666]","[['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction']]"
191.543,41.0,44.0,"[130.463, 151.747, 152.09, 164.734, 177.813, 194.144, 197.548, 201.555, 209.79, 212.053, 214.49, 228.534, 255.092]","[0.616, 0.546, 0.545, 0.503, 0.46, 0.406, 0.395, 0.382, 0.355, 0.348, 0.34, 0.293, 0.206]","[3.653, 1.172, 0.453]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
246.831,23.0,77.0,"[183.706, 228.051, 235.011, 241.435, 252.018, 262.638, 271.586, 300.199]","[0.441, 0.295, 0.272, 0.251, 0.216, 0.181, 0.152, 0.058]","[0.345]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
121.042,65.0,17.0,"[81.52, 88.52, 193.086]","[0.776, 0.753, 0.41]","[1.757]","[['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
126.877,63.0,19.0,"[82.689, 90.528, 91.131, 101.617, 105.862, 121.304, 124.987, 136.783, 141.803, 147.026, 172.289, 206.503]","[0.773, 0.747, 0.745, 0.71, 0.696, 0.646, 0.634, 0.595, 0.578, 0.561, 0.478, 0.366]","[2.438, 1.343]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment']]","[['neutral'], ['entailment']]"
106.687,69.0,12.0,"[78.716, 88.895, 96.187, 103.404, 110.366, 125.579, 143.663]","[0.786, 0.752, 0.728, 0.705, 0.682, 0.632, 0.572]","[1.644]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
177.434,46.0,53.0,"[125.821, 134.345, 137.9, 143.49, 152.02, 201.475, 207.304, 246.897, 247.656]","[0.631, 0.603, 0.591, 0.573, 0.545, 0.382, 0.363, 0.233, 0.231]","[2.05]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
147.412,56.0,26.0,"[125.621, 130.073, 151.075, 164.922, 165.369]","[0.632, 0.617, 0.548, 0.502, 0.501]","[1.193]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
464.88,0,100,"[439.703, 448.565, 464.768, 471.624, 472.97, 476.899, 479.629]","[-0.4, -0.43, -0.483, -0.505, -0.51, -0.523, -0.532]","[]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[]"
200.118,39.0,53.0,"[152.27, 161.064, 164.77, 169.083, 169.987, 222.661, 248.188, 312.923]","[0.544, 0.515, 0.503, 0.489, 0.486, 0.313, 0.229, 0.016]","[1.425, 0.462]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
153.36,54.0,26.0,"[83.844, 87.852, 107.741, 135.254, 152.836, 173.942, 176.622, 177.758, 184.748, 253.001]","[0.769, 0.756, 0.69, 0.6, 0.542, 0.473, 0.464, 0.46, 0.437, 0.213]","[2.147, 1.699, 0.944]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['neutral'], ['entailment'], ['neutral']]"
177.286,46.0,38.0,"[124.239, 149.066, 150.247, 152.594, 157.572, 181.849, 182.203, 182.816, 189.03, 203.843, 221.012, 232.965]","[0.636, 0.555, 0.551, 0.543, 0.527, 0.447, 0.446, 0.444, 0.423, 0.375, 0.318, 0.279]","[1.058, 0.605]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
279.54,13.0,58.0,"[235.59, 248.151, 254.771, 255.037, 268.985, 271.752, 281.373, 298.054, 333.173, 348.516]","[0.27, 0.229, 0.207, 0.206, 0.16, 0.151, 0.12, 0.065, -0.05, -0.101]","[0.99, 0.916, 0.503]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
278.073,13.0,89.0,"[183.357, 253.546, 261.931, 275.577, 276.421, 317.282, 378.396]","[0.442, 0.211, 0.184, 0.139, 0.136, 0.002, -0.199]","[1.249, 0.358]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['entailment']]","[['neutral'], ['entailment']]"
207.88,36.0,55.0,"[190.505, 200.474, 220.085, 220.458]","[0.418, 0.386, 0.321, 0.32]","[1.453, 0.417]","[['neutral'], ['contradiction'], ['contradiction'], ['neutral']]","[['entailment'], ['neutral']]"
181.973,45.0,39.0,"[138.566, 140.804, 153.621, 156.402, 162.209, 195.397, 220.204, 228.055, 242.497]","[0.589, 0.582, 0.54, 0.53, 0.511, 0.402, 0.321, 0.295, 0.248]","[1.437, 0.98]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
111.686,68.0,11.0,"[70.365, 82.656, 83.107, 92.802, 102.912, 103.083, 107.902, 112.903, 114.343, 116.536, 118.951, 125.907, 135.279, 152.991, 155.555]","[0.813, 0.773, 0.771, 0.739, 0.706, 0.706, 0.69, 0.673, 0.669, 0.661, 0.653, 0.631, 0.6, 0.542, 0.533]","[0.866, 0.765, 0.626]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['neutral'], ['contradiction']]"
174.968,47.0,31.0,"[115.31, 159.764, 166.651, 174.322, 191.323, 200.504, 216.901]","[0.665, 0.519, 0.497, 0.472, 0.416, 0.386, 0.332]","[1.151]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
145.723,57.0,22.0,"[122.081, 126.018, 131.063, 143.12, 173.743, 178.312]","[0.643, 0.63, 0.614, 0.574, 0.473, 0.458]","[1.832, 1.712]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
175.164,47.0,27.0,"[124.362, 175.543, 225.587]","[0.636, 0.468, 0.303]","[1.651, 1.249, 1.11]","[['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
183.757,44.0,37.0,"[92.183, 194.338, 207.859, 240.649]","[0.741, 0.406, 0.361, 0.254]","[2.036, 1.394, 0.869]","[['neutral'], ['entailment'], ['contradiction'], ['neutral']]","[['entailment'], ['contradiction'], ['neutral']]"
135.892,60.0,27.0,"[87.723, 143.193, 176.76]","[0.756, 0.574, 0.464]","[1.986]","[['neutral'], ['contradiction'], ['neutral']]","[['neutral']]"
210.001,35.0,49.0,"[93.696, 148.767, 206.136, 210.226, 210.707, 241.628, 245.203, 245.568, 247.111, 250.969]","[0.736, 0.556, 0.367, 0.354, 0.352, 0.25, 0.239, 0.237, 0.232, 0.22]","[2.327, 0.344]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
92.108,74.0,7.0,"[59.076, 73.138, 75.964, 77.237, 83.827, 101.478, 101.966, 108.97, 109.218, 130.205]","[0.85, 0.804, 0.795, 0.791, 0.769, 0.711, 0.709, 0.686, 0.685, 0.617]","[2.673, 2.47]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
154.804,54.0,30.0,"[106.529, 131.505, 135.491, 172.35, 183.735, 199.214]","[0.694, 0.612, 0.599, 0.478, 0.441, 0.39]","[2.247, 1.157]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['contradiction'], ['neutral']]"
161.847,51.0,32.0,"[115.917, 121.095, 159.275, 182.775, 194.07, 197.95]","[0.663, 0.646, 0.521, 0.444, 0.407, 0.394]","[1.531, 1.175]","[['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['entailment'], ['contradiction']]","[['entailment'], ['contradiction']]"
157.306,53.0,34.0,"[112.987, 141.026, 143.809, 149.984, 159.243, 159.602, 163.453, 182.985, 202.668]","[0.673, 0.581, 0.572, 0.552, 0.521, 0.52, 0.507, 0.443, 0.378]","[3.211, 2.755, 0.324]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
146.481,56.0,27.0,"[85.766, 99.495, 164.098, 177.908, 205.139]","[0.763, 0.717, 0.505, 0.46, 0.37]","[1.975, 1.421]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
157.989,53.0,22.0,"[157.989]","[0.525]","[1.907]","[['neutral']]","[['neutral']]"
237.285,26.0,50.0,"[153.446, 261.353, 262.229, 272.112]","[0.54, 0.186, 0.183, 0.15]","[2.084]","[['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['neutral']]"
209.235,36.0,47.0,"[139.345, 164.319, 185.986, 193.673, 199.943, 205.163, 229.655, 240.198, 260.606, 273.457]","[0.586, 0.504, 0.433, 0.408, 0.387, 0.37, 0.29, 0.255, 0.188, 0.146]","[2.643, 1.45]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
