#,question_id,pubmed_id,answer
72,73,20382292,"Yes, knee extensor strength is positively correlated with dynamic stability, and dynamic stability is positively correlated with functional ambulation in Parkinson’s disease; however, knee extensor strength itself does not directly predict functional ambulation."
73,74,22236315,"Yes, greater driving distance is linked to later‑stage breast cancer and delayed colorectal treatment in Medicaid patients, though the association is weaker for lung cancer."
74,75,17051586,"No, the study found no protective effect of folic acid on congenital heart defects in infants with Down syndrome."
75,76,25007420,"Yes, overall diagnosed disorder rates are similar, but francophones outside Winnipeg show lower suicide and substance‑use disorder rates, and they rate their mental health less positively."
76,77,26556589,"No, in physically active type 1 diabetics the Achilles tendon response to a 10 km run is similar to non‑diabetics; the effect in sedentary T1DM individuals remains unknown."
77,78,26194560,"Yes, oversized cup‑cage reconstruction provides initial stability in THA for osteoporotic acetabular fractures."
78,79,21172844,"Yes, TDP‑43 type shows distinct atrophy patterns in FTLD, but these patterns are also modulated by GRN mutations and FTLD‑MND status."
79,80,27581329,"No, existing equations are not fully applicable; they under‑ or over‑estimate BMR in Chinese adults, especially those overweight/obese. The new Singapore equation achieved ~80% accuracy and a better fit."
80,81,11867487,"Maybe. The study found that 62 % of players believed headgear could prevent concussion, yet only 27 % wore it and coaches were less convinced (33 %). Evidence on actual prevention remains inconclusive."
81,82,9854965,"Yes, dementia and aphasia are underrecognised in motor neuron disease, as multiple studies report cognitive deficits and language impairments that are often overlooked in routine ALS assessment."
82,83,19131405,"Maybe, diffusion‑weighted echo‑planar MRI can hint at subtype differences, but ADC overlap—especially between Warthin tumors and malignancies—limits reliable, definitive prediction."
83,84,18667100,"No, risk factors for suicidal behavior do not differ by affective disorder polarity."
84,85,10605400,"Yes, the study shows INR measurements performed in primary‑care settings using near‑patient testing are reliable and comparable to hospital laboratory results."
85,86,25986020,"Maybe, zero CLABSI can be achieved and sustained for extended periods with rigorous bundles and multidisciplinary vigilance, but long‑term maintenance remains challenging."
86,87,17598882,"Yes, evidence from familial studies indicates that breast cancer prognosis can be inherited."
87,88,25940336,"Yes, certain pre‑residency metrics—USMLE scores, OITE results, academic standing—correlate with objective performance measures, though predictive power varies across studies."
88,89,24014276,"Yes, optimistic older adults show lower mortality and longer survival, especially women, even after adjusting for health and function."
89,90,26113007,"No, arch form is independent of sagittal molar relationship and Bolton tooth‑size discrepancy."
90,91,18222909,"Yes, pectins are involved in both cold acclimation and de‑acclimation of winter oil‑seed rape, influencing cell‑wall stiffness, leaf expansion, and freezing resistance."
91,92,19836806,"No, adjustment is not warranted. The study found only a small inverse relationship between BMI/percent body fat and PSA, insufficient to justify BMI‑based PSA thresholds."
92,93,21801416,"Yes, intracerebroventricular metformin or AICAR injections lowered the amplitude of the ewe’s circadian melatonin rhythm, supporting a role for AMPK in modulating melatonin secretion."
93,94,25819796,"Yes, the isolated right hemisphere can support reading, as demonstrated by the 7 participants who showed varying but generally functional reading abilities after left hemispherectomy."
94,95,22656647,"Yes, higher socioeconomic status is linked to higher acceptance, though proactive invitation letters can reduce the gap."
95,96,22683044,"Yes, open access publishing increases the impact of scientific articles, as evidenced by higher citation rates and a measurable advantage appearing 30–35 months after publication."
96,97,22867778,"Yes, responsibility influences public valuation of health care interventions."
97,98,21658267,"Yes, gains in clinical services strongly predict lower under‑5 mortality; outreach gains also correlate, though less strongly, and family/community improvements (e.g., breastfeeding, nutrition) predict survival gains, especially in Africa."
98,99,20363841,"No, symptoms alone are not reliable predictors of COPD in smokers; they add little beyond age and smoking history."
99,100,20187289,"No, prescriptions alone are not a reliable proxy for asthma in children, as many children with asthma do not receive or fill such prescriptions, and medication use can be influenced by other factors."
100,101,25592625,"Maybe, a brief baseline check (history, HR, BP) is advised, but routine ECG or continuous monitoring is usually unnecessary once normal values are confirmed."
101,102,25859857,"No, neoadjuvant chemotherapy does not alter the frequency or topographic distribution of lymph‑node metastases in cervical cancer, so the extent of lymphadenectomy should remain extensive regardless of NACT response."
102,103,14745753,"Yes, half‑dose CE‑3D‑MRA with 50 % diluted gadolinium at 1 mL/s produces image quality comparable to a full dose for the abdominal aorta and its major branches."
103,104,15939071,"Yes, the study shows that a high cumulative regular insulin dose is associated with increased carotid intima‑media thickness, indicating a higher atherosclerosis risk in type 1 diabetes."
104,105,18594195,"Yes, older patients who refuse a self‑management intervention in the Netherlands differ from those who agree: they are generally less motivated, report poorer health status, lower self‑efficacy, and higher levels of depressive symptoms, which are associated with lower willingness to participate."
105,106,25614468,"Maybe, MRI shows comparable accuracy to MDCT for T and N staging but lower sensitivity than EUS; its role is limited and further studies are needed."
106,107,26879871,"Yes, depression diagnosis and antidepressant prescribing differ by location, showing significant variation across neighbourhoods and ethnic groups."
107,108,18307476,"Yes, the study shows that increasing the maximum SSI benefit by $100 reduces disability among the poorest elderly by roughly 15‑20 %, indicating that SSI does lower disability in this group."
108,109,15151701,"Yes, peer review can help profile quality of care, but its effectiveness depends on structured methods, reviewer training, and clear criteria; without these, reliability and consistency are limited."
109,110,21569408,"No, the study found the deprivation‑mortality relationship to be homogeneous across regions, indicating context does not alter it."
110,111,23587089,"Yes, Dutch primary schools’ food policies need improvement: many lack clear rules, enforcement is inconsistent, and both teachers and parents see the school’s role as supportive but not decisive. Clear, enforceable guidelines, better communication with parents, and collaboration with nutrition experts are recommended to strengthen the policy’s impact on children’s dietary behaviour."
111,112,21881325,"Yes, preoperative statins reduce postoperative atrial fibrillation after CABG."
112,113,26134053,"Yes, the study shows that active outcome feedback is largely absent yet highly valued by residents, indicating it could be leveraged to support deliberate practice and enhance performance in emergency medicine training."
113,114,25274085,"Yes, adding validated SNP scores to clinical models modestly improves discrimination (c‑index rises from ~0.20 to ~0.22), indicating potential benefit, but performance remains limited and further validation is needed."
114,115,19468282,"Yes, it predicts functional outcomes such as chronic ambulation and guides prognosis and rehabilitation planning."
115,116,25371231,"Yes, evidence suggests that low vitamin D levels—both insufficiency and deficiency—are associated with the initiation and progression of osteochondritis dissecans."
116,117,20530150,"No, cholecystectomy alone is not an indication for splenectomy in mild hereditary spherocytosis; splenectomy should be reserved for haematological indications."
117,118,26085176,"Yes, the study shows T1‑weighted imaging alone detects bone metastases with comparable sensitivity and specificity at both 1.5 T and 3 T, and STIR adds no diagnostic benefit, especially at 3 T."
118,119,21256734,"No, baseline pain intensity does not predict a poor opioid response; appropriate titration yields similar outcomes across mild, moderate, and severe pain levels."
119,120,28027677,"Yes, availability of prerecorded VODcasts tends to reduce attendance among first‑year pre‑clinical Graduate Entry to Medicine students."
120,121,17595200,"No, the study found maternal and paternal BMI associations with child BMI were similar, indicating no strong intrauterine influence on obesity at the population level."
121,122,27216167,"Yes, higher educational level was significantly associated with increased odds of specialist contact; other lifestyle and socioeconomic factors (age, smoking, alcohol, BMI, income, employment, ethnicity, marital status) showed no significant association."
122,123,25417760,"Yes, they differ. Perimenopause/post‑menopause raises recurrence risk but not first‑onset; hormone levels are not linked. Prior anxiety, life events, and other psychosocial factors predict first‑onset."
123,124,22365295,"No, prophylactic antibiotics are not necessary for TIV‑AD placement by interventional radiologists."
124,125,25779009,"Yes, it is a study evaluating the bactericidal activity of three cutaneous/mucosal antiseptic solutions in the presence of interfering substances, proposing improvements to the NF EN 13727 European Standard."
125,126,24964725,"Yes, the significant gains in RKI scores and the positive shifts on RAQ items that link faith to recovery demonstrate that culture, attitudes, and faith are relevant and useful components of recovery outcome measures."
126,127,20674150,"Maybe, the 2009 TNM staging shows significant prognostic separation overall, but the lack of statistical difference between pT2b and pT3a suggests room for refinement."
127,128,22668852,"No, after adjusting for weight, age, and other factors, African American women do not require fewer calories to maintain weight."
128,129,11882828,"Yes, tranexamic acid reduces desmopressin‑induced hyperfibrinolysis, lowering postoperative bleeding and transfusion needs."
129,130,22979954,"Yes, the study shows higher failure rates—especially in nulliparous women—and overall rates exceed expectations, indicating that failed IUD insertions in community practice are an under‑recognized problem that warrants further investigation."
130,131,18507507,"Yes, they can be worth the price when robust pharmacoeconomic data demonstrate superior clinical outcomes, reduced long‑term costs, and improved quality of life, but many lack such evidence, so value remains uncertain."
131,132,17323047,"No, invasive diagnosis of nosocomial pneumonia during off‑hours does not delay treatment; the study found that time from bronchoscopy to antibiotic administration was actually shorter than during day shifts."
132,133,25501465,"No, the radiographic scout image is not necessary for pediatric VCUG; it adds non‑negligible dose without providing clinically significant or management‑changing information."
133,134,23949294,"Yes, the study shows >90% of patients had VL <200 copies/mL, half were suppressed on first‑line ART, and only 16% required third‑line drugs, indicating feasibility of long‑term viral load suppression in resource‑limited settings."
134,135,17610439,"Yes, evidence shows higher mortality, lower procedure rates, and delayed care on weekends, indicating lower quality care."
135,136,10158597,"Yes, the study found that a dedicated discharge coordinator improved the quality of hospital discharge planning, though it incurred additional costs."
136,137,21198823,"No, routine dobutamine stress echocardiography does not raise cardiac troponin levels."
137,138,24142776,"Yes, when betamethasone is combined with benzalkonium chloride in gentamicin ear drops, the cochlear toxicity is significantly reduced compared with gentamicin alone."
138,139,22117569,"Yes, the study found an advance care planning model is feasible for community palliative care services."
139,140,19142546,"No, quantitative left‑ventricular regional wall motion does not change after fibrous tissue resection in endomyocardial fibrosis."
140,141,27096199,"No, viral co‑infection does not significantly increase the severity of acute respiratory infection in children."
141,142,10490564,"Yes, profound hypotensive events can precipitate myocardial ischemia by exceeding coronary autoregulatory capacity, leading to ischemic episodes."
142,143,27050505,"Yes, the ACE‑1 DD genotype is linked to higher chronic kidney disease risk in hypertensive patients."
143,144,25155638,"Yes, routine offering of influenza vaccination in office‑based settings can cut racial and ethnic disparities in adult influenza vaccination by roughly half."
144,145,21080127,"Maybe, if the infection is non‑Staphylococcus aureus, symptom duration is short, and polyethylene exchange is performed; initial control is lower but final outcomes can match two‑stage revision."
145,146,23283159,"Yes, obesity at the start of adolescence increases the risk of persistent wheezing."
146,147,24191126,"Yes, CA72‑4 is useful; it is markedly elevated in epithelial ovarian cancer (≈71 %) but rarely in endometrioma (≈14 %), providing a significant discriminative value."
147,148,12769830,"No, depth is not a major prognostic factor; only when size is >5 cm does it add limited information, so staging should rely on grade and size."
148,149,28056802,"Yes, non‑HDL‑C predicts long‑term MACEs better than LDL‑C in post‑AMI patients."
149,150,24922528,"No, family factors did not moderate the association of pubertal stage with alcohol use in 10‑14‑year‑olds."
150,151,24267613,"No, advanced age is not a contraindication; laparoscopic fundoplication shows similar safety, low morbidity, and comparable symptom improvement in elderly patients as in younger ones."
151,152,15388567,"No, most studies in sports‑medicine journals focus on healthy, often sedentary subjects and sports science, with few addressing diagnostic or treatment interventions for injured athletes, limiting their direct relevance to practitioners and athletes."
152,153,19419587,"Yes, transverse sternal plating significantly increases intrathoracic pressure needed for 2 mm separation, improving stability in both primary and secondary closures, especially in high‑risk patients."
153,154,18799291,"Yes, HINT1 is a plausible candidate for schizophrenia. Multiple association studies in Irish families and case‑control samples show nominal significance, especially in a sex‑specific manner. Expression analyses reveal altered HINT1 levels in post‑mortem brains and interactions with diagnosis and genotype. Functional data link HINT1 to dopamine signaling and transcriptional regulation, pathways implicated in schizophrenia pathophysiology."
154,155,19615731,"No, higher BMI was not associated with worse asthma control in this urban cohort."
155,156,18537964,"Yes, physicians’ specialties significantly affect how often and how thoroughly they record medication histories, with certain specialties documenting more depth and frequency relevant to their diagnostic needs."
156,157,25747932,"Yes, early‑life urban exposure and cumulative urban years both independently raise behavioral and physiological NCD risk factors, though not all biological markers show the same pattern."
157,158,25885219,"Yes, the observed shifts—lower plasma creatine, reduced urinary excretion, increased renal AGAT, altered hepatic GAMT, higher heart and kidney creatine, and tissue‑specific CrT1 changes—indicate a maternal metabolic adaptation to supply creatine for fetal growth and maternal tissue demands during gestation."
158,159,26348845,"Yes, rapid prescreening (RPS) flags many glandular cell abnormalities (AGC) on Pap smears, achieving about 36 % sensitivity at the AGC threshold and catching some AGC cases that full screening misses."
159,160,24487044,"Maybe, only for the high‑risk obese‑with‑knee‑injury group when efficacy ≥70 %, annual cost ≤$300, toxicity negligible, and initiation at a young age; otherwise the regimen is not cost‑effective."
160,161,12377809,"Yes, linear anorectal endosonography is valuable in dyschesia, providing clear visualization of the anal sphincter and puborectalis, allowing accurate measurement of length and thickness at rest and during straining, and detecting paradoxical contraction or absent relaxation that characterizes pelvic‑floor dyssynergia."
161,162,16195477,"Yes, perivascular adipose tissue secretes MCP‑1 and IL‑8 at levels comparable to subcutaneous fat, attracts macrophages and T cells to the vessel wall, and expands with high‑fat diet, thereby fostering local inflammation and atherogenesis."
162,163,16678696,"No, continuity of care was poor: only 57% in‑hospital and 3% postdischarge, indicating trainees are not learning complete surgical care."
163,164,18801797,"No, household and food‑shopping environments have only a limited effect on overall fruit and vegetable consumption and do not explain socioeconomic inequalities in intake."
164,165,12153648,"No, birth‑center care during a first pregnancy did not affect whether or when women had a second child."
165,166,17565137,"Yes, the counter‑industry ad changed non‑smokers’ view of movie smoking and lowered their future smoking intent, but it had no effect on smokers’ attitudes and actually increased the proportion of smokers who felt unlikely to quit."
166,167,26460153,"Yes, survivors of cardiac reoperations in octogenarians achieve good functional status and quality of life comparable to age‑matched norms, but the procedure carries a high perioperative mortality rate, so benefit is limited to those who survive the operation."
167,168,8199520,"No, caregivers report dissatisfaction, low support, and physicians often avoid meaningful contact."
168,169,20130378,"No, low birth weight is not a reliable risk indicator for congenital CMV infection."
169,170,8017535,"Yes, the 1990 Youth Risk Behavior Survey shows that as substance use escalates from alcohol/cigarettes to marijuana, cocaine, or other illicit drugs, the likelihood of ever having had sexual intercourse, having four or more partners, and not using a condom at last intercourse increases, indicating a strong association between substance use and HIV‑related sexual risk behaviors."
170,171,24172579,"Yes, sex influences the response to intravenous thrombolysis in ischemic stroke: men show higher mortality and symptomatic intracerebral haemorrhage rates, while functional independence at 3 months is similar between sexes."
171,172,26285789,"No, systematic genotyping does not currently provide useful information for routine management of radioiodine‑refractory thyroid cancers."
172,173,22266735,"Yes, the IADPSG criteria are cost‑effective, producing an ICER of about $20,336 per QALY gained, provided post‑delivery counseling and lifestyle interventions reduce future diabetes risk."
173,174,15052394,"No, higher rates of depression in women are not explained by differential symptom reporting."
174,175,23264436,"No, most Medicare beneficiaries did not receive the recommended initial in‑person follow‑up within 2–12 weeks; adherence improved over time but remains suboptimal, especially among non‑white patients."
175,176,22302658,"Maybe, limb‑salvage improves objective functional capacity (e.g., lower PCI) but does not consistently enhance overall quality‑of‑life scores compared with amputation."
176,177,24684514,"No, individualized targets based on ASA score and baseline Hb are recommended."
177,178,23360491,"Yes, spatial attention modulates early ERP responses to affective prosody, but later processing is largely independent."
178,179,22350859,"Yes, evidence shows pictorial warning labels increase impact among lower‑education smokers, improve knowledge, and reduce smoking‑related health disparities."
179,180,7860319,"Yes, 30‑day data largely capture hospital mortality performance; 180‑day outcomes correlate strongly with 30‑day rankings, and longer periods add little new insight."
180,181,20497146,"Yes, maximal healing occurs when intragastric pH > 4 for about 12–17 h (≈50–70 % of a 24‑h period); beyond that no further benefit."
181,182,23571528,"No, sternal skin conductance shows only 24% concordance with diary‑reported hot flashes, a 45% sensitivity, and 76% false‑negative rate, indicating it is not a reliable surrogate."
182,183,22348433,"Yes, partial expander deflation immediately before radiotherapy increases adverse effects—particularly in the lower expander pole—likely due to heightened radiosensitization from increased blood flow and oxygenation."
183,184,20197761,"No, IBS is not a diagnosis of exclusion; it is diagnosed positively using Rome criteria alone."
184,185,21394762,"Yes, pelvic pain is associated with defecatory symptoms in women with pelvic organ prolapse, as shown by increased odds of pain with higher CRADI‑8 scores and significant links to symptoms such as pain with bowel movements, fecal urgency, incomplete evacuation, and straining."
185,186,12607666,"Yes, extended aortic replacement is justifiable when technically feasible, as it permits complete resection of all dissected tissue and has shown good early and mid‑term outcomes."
186,187,14652839,"No, the study found no difference in distal embolisation between proximal‑first and distal‑first clamp application."
187,188,18719011,"No, an overweight birth cohort in childhood does not necessarily remain overweight in adulthood; recent Japanese female cohorts were more overweight in childhood but thinner as young adults."
188,189,23621776,"No, a history of unintended pregnancy does not lessen the likelihood of desire for sterilization reversal; in fact, unadjusted analyses show higher odds, and adjusted analyses find no significant reduction."
189,190,14655021,"No, juvenile ankylosing spondylitis differs from adult AS in onset, clinical phenotype, and prognosis. Juvenile cases present mainly with peripheral oligoarthritis, enthesitis, and hip/knee involvement, with sacroiliitis developing later, whereas adult AS predominantly involves axial skeleton early. These distinct patterns suggest they are related but not identical diseases."
190,191,28006766,"Yes, high Ki‑67 expression predicts poorer survival and higher disease progression in upper‑tract urothelial carcinoma, making it a prognostic biomarker."
191,192,19575104,"No, foreign bodies do not migrate toward the heart; they may perforate or abscess but not follow a path toward cardiac structures."
192,193,16971978,"Yes, complex coronary lesions (bifurcation and ostial) are significantly more frequent in patients with diabetes mellitus."
193,194,21558951,"No, intrauterine cocaine exposure is not a strong predictor of early‑adolescent delinquency; other factors such as tobacco exposure and violence are more influential."
194,195,24073931,"No, covering the resection margin after distal pancreatectomy does not reduce fistula rates or improve outcomes."
195,196,18472368,"Maybe. Some studies show no difference in control or survival with longer overall treatment time, while others find that extended duration (especially >8 weeks or high non‑treatment‑day ratios) can worsen biochemical control in low‑risk prostate cancer."
196,197,23992109,"Yes, urinary biomarkers provide a non‑invasive assessment of tubular lesions in solitary kidney patients."
197,198,21951591,"Yes, pain‑related cognitions influence motor performance in chronic low back pain, as shown by worse reaction and movement times in patients, especially when pain expectations are provoked."
198,199,15919266,"No, routine adjuvant radiation is not necessary for all stage III thymoma patients; recurrence rates and survival are similar with or without it, suggesting selective use rather than universal application."
199,200,2503176,"Yes, inhibin levels are markedly elevated in hydatidiform mole patients and fall sharply after evacuation, suggesting it is a promising specific circulating marker for the condition."
200,201,20337874,"No, current guidelines are insufficient to ensure prompt diagnosis of ARM, as delayed diagnosis remains common (~32%) and guidelines lack mandatory documentation of anal patency within 24 h."
201,202,19198736,"No, small‑for‑gestational‑age is not a significant risk factor for retinopathy of prematurity; risk factors are similar in SGA and AGA infants."
202,203,22411435,"Yes, the higher risk of serious infections with infliximab versus etanercept appears mainly in patients younger than 65 years; no clear variation was seen by sex, race/ethnicity, BMI, or smoking."
203,204,23792130,"Yes, MR‑US fusion biopsy shows higher detection rates in enlarged prostates compared to standard TRUS biopsy."
204,205,21457946,"Yes, longitudinal MRI studies show progressive loss of gray and white matter and ventricular enlargement in schizophrenia."
205,206,25699562,"Yes, TLI assessed in late childhood predicts suicidal symptoms at young adulthood."
206,207,19648304,"Yes, it improves outcomes—reduces procedural pain, lowers pain scores at follow‑up, increases responder rates, and decreases non‑responder rates compared with palpation‑guided injections."
207,208,21864397,"Yes, combined modality treatment improves survival in nasopharyngeal carcinoma patients with lung metastasis alone, especially for those with disease‑free interval >1 year and age ≤45 years."
208,209,24235894,"No, the study found no overall first‑night effect on sleep bruxism severity in young, healthy subjects."
209,210,25793749,"Yes, Web‑based participants reported higher psychological symptom burden, while physical symptom burden was comparable between Web‑based and clinic samples."
210,211,10173769,"Yes, the Barthel index alone is not fully adequate; it serves as a proxy but other scales are needed for comprehensive outcome assessment."
