question_id,mean_distance_a,relevance_score_a,hallucination_index_by_ml,hallucination_index_by_equation,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a
11,53.522,88.0,36.0,0,"[37.624, 39.699, 39.804, 41.456, 45.901, 46.672, 61.977, 37.624, 39.699, 82.811]","[0.884, 0.869, 0.869, 0.857, 0.825, 0.819, 0.709, 0.884, 0.869, 0.558]","[1.767, 0.995, 0.791, 0.767, 0.734, 0.615, 0.469, 1.767, 0.995, 0.266]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
12,76.765,86.0,33.0,0,"[43.973, 45.337, 48.351, 68.186, 70.219, 74.036, 89.587, 45.337, 108.719, 43.973]","[0.839, 0.829, 0.807, 0.664, 0.649, 0.621, 0.509, 0.829, 0.371, 0.839]","[0.946, 0.705, 0.571, 0.401, 0.389, 0.263, 0.262, 0.705, 0.191, 0.946]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral']"
13,55.993,93.0,34.0,0,"[32.762, 37.82, 43.766, 45.136, 46.709, 47.31, 48.878, 59.078, 66.645, 69.114, 73.572, 74.94, 82.178]","[0.92, 0.883, 0.84, 0.83, 0.819, 0.814, 0.803, 0.729, 0.675, 0.657, 0.625, 0.615, 0.563]","[1.316, 0.733, 0.541, 0.526, 0.381, 0.361, 0.275, 0.259, 0.236, 0.196, 0.175, 0.141, 0.125]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
14,63.689,89.0,33.0,0,"[35.361, 40.046, 43.449, 48.729, 60.803, 62.74, 84.47, 96.966, 35.361]","[0.901, 0.867, 0.842, 0.804, 0.717, 0.703, 0.546, 0.456, 0.901]","[1.086, 0.79, 0.773, 0.754, 0.309, 0.164, 0.162, 0.144, 1.086]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
15,60.37,84.0,34.0,0,"[24.278, 38.288, 49.541, 52.956, 54.33, 61.825, 38.288, 24.278, 67.0, 49.541, 88.224, 88.574]","[0.981, 0.88, 0.798, 0.774, 0.764, 0.71, 0.88, 0.981, 0.672, 0.798, 0.519, 0.516]","[1.272, 1.037, 0.866, 0.861, 0.855, 0.829, 1.037, 1.272, 0.66, 0.866, 0.402, 0.345]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
16,43.503,97.0,31.0,0,"[34.77, 37.199, 39.34, 45.236, 45.699, 49.064, 53.214]","[0.905, 0.888, 0.872, 0.829, 0.826, 0.802, 0.772]","[0.652, 0.465, 0.436, 0.415, 0.404, 0.402, 0.344]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
17,63.495,90.0,32.0,0,"[27.02, 41.276, 50.086, 53.654, 53.789, 60.199, 63.175, 63.35, 71.644, 80.564, 84.041, 63.35, 41.276]","[0.961, 0.858, 0.794, 0.769, 0.768, 0.721, 0.7, 0.699, 0.639, 0.574, 0.549, 0.699, 0.858]","[0.93, 0.771, 0.615, 0.525, 0.503, 0.39, 0.358, 0.333, 0.307, 0.214, 0.213, 0.333, 0.771]","['neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
18,63.485,88.0,37.0,0,"[49.213, 50.802, 56.203, 58.345, 60.529, 60.623, 58.345, 60.529, 70.14, 71.726, 74.457, 83.113]","[0.801, 0.789, 0.75, 0.735, 0.719, 0.718, 0.735, 0.719, 0.65, 0.638, 0.618, 0.556]","[0.898, 0.788, 0.731, 0.659, 0.588, 0.505, 0.659, 0.588, 0.348, 0.28, 0.227, 0.181]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
19,72.506,84.0,32.0,0,"[46.669, 53.932, 70.209, 79.393, 46.669, 84.44, 91.216]","[0.819, 0.767, 0.649, 0.583, 0.819, 0.546, 0.497]","[0.862, 0.817, 0.672, 0.643, 0.862, 0.272, 0.116]","['neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'entailment']"
20,61.734,90.0,31.0,0,"[34.576, 42.369, 45.612, 47.019, 51.834, 59.082, 63.623, 63.863, 64.529, 66.087, 66.497, 66.74, 67.168, 64.529, 66.087, 67.168]","[0.906, 0.85, 0.827, 0.817, 0.782, 0.729, 0.697, 0.695, 0.69, 0.679, 0.676, 0.674, 0.671, 0.69, 0.679, 0.671]","[1.006, 0.923, 0.727, 0.546, 0.43, 0.381, 0.371, 0.358, 0.352, 0.348, 0.344, 0.318, 0.31, 0.352, 0.348, 0.31]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
21,64.946,92.0,33.0,0,"[30.97, 47.713, 52.817, 56.393, 64.849, 66.883, 70.061, 77.41, 78.272, 77.41, 78.272]","[0.933, 0.812, 0.775, 0.749, 0.688, 0.673, 0.65, 0.597, 0.591, 0.597, 0.591]","[0.638, 0.569, 0.487, 0.478, 0.253, 0.181, 0.173, 0.162, 0.128, 0.162, 0.128]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
22,35.736,99.0,40.0,0,"[15.453, 29.539, 29.897, 48.602, 55.189]","[1.045, 0.943, 0.94, 0.805, 0.758]","[0.831, 0.701, 0.417, 0.344, 0.119]","['entailment', 'neutral', 'neutral', 'neutral', 'neutral']"
23,58.464,93.0,29.0,0,"[24.087, 28.282, 36.051, 49.251, 59.229, 59.782, 59.958, 59.782, 59.958, 75.594, 117.127]","[0.982, 0.952, 0.896, 0.8, 0.728, 0.724, 0.723, 0.724, 0.723, 0.61, 0.31]","[0.636, 0.461, 0.454, 0.419, 0.402, 0.397, 0.341, 0.397, 0.341, 0.2, 0.124]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction']"
24,63.813,91.0,32.0,0,"[39.972, 50.305, 53.46, 54.397, 58.289, 67.435, 70.186, 75.406, 54.397, 75.406]","[0.867, 0.793, 0.77, 0.763, 0.735, 0.669, 0.649, 0.611, 0.763, 0.611]","[0.627, 0.57, 0.542, 0.537, 0.494, 0.294, 0.227, 0.195, 0.537, 0.195]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
25,51.347,88.0,33.0,0,"[33.509, 41.222, 41.344, 44.927, 45.122, 48.854, 49.909, 52.778, 53.334, 54.193, 45.122]","[0.914, 0.858, 0.858, 0.832, 0.83, 0.803, 0.796, 0.775, 0.771, 0.765, 0.83]","[1.233, 1.222, 1.19, 0.88, 0.784, 0.672, 0.518, 0.513, 0.475, 0.268, 0.784]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']"
26,47.872,96.0,31.0,0,"[32.716, 38.406, 41.864, 45.958, 49.001, 50.948, 51.077, 54.312, 56.625, 57.813]","[0.92, 0.879, 0.854, 0.824, 0.802, 0.788, 0.787, 0.764, 0.747, 0.739]","[1.2, 0.606, 0.405, 0.404, 0.39, 0.363, 0.31, 0.213, 0.203, 0.146]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
27,62.059,92.0,34.0,0,"[32.077, 36.555, 51.207, 51.991, 61.115, 77.639, 51.991, 32.077]","[0.925, 0.892, 0.786, 0.781, 0.715, 0.595, 0.781, 0.925]","[0.822, 0.595, 0.533, 0.484, 0.125, 0.096, 0.484, 0.822]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
28,33.174,100,33.0,0,"[13.433, 18.805, 24.126, 27.041, 37.896, 39.872, 40.617, 63.599]","[1.059, 1.02, 0.982, 0.961, 0.882, 0.868, 0.863, 0.697]","[0.531, 0.494, 0.421, 0.349, 0.346, 0.327, 0.324, 0.294]","['neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']"
29,56.305,92.0,33.0,0,"[25.987, 28.258, 35.784, 37.483, 41.032, 48.371, 50.774, 57.957, 62.7, 63.822, 75.933, 76.411, 76.411, 28.258]","[0.969, 0.952, 0.898, 0.885, 0.86, 0.807, 0.789, 0.738, 0.703, 0.695, 0.608, 0.604, 0.604, 0.952]","[1.179, 0.772, 0.604, 0.601, 0.562, 0.508, 0.472, 0.352, 0.342, 0.32, 0.257, 0.247, 0.247, 0.772]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
30,53.51,93.0,35.0,0,"[29.989, 35.9, 37.142, 37.429, 44.161, 48.575, 49.264, 51.654, 53.538, 58.344, 59.698, 64.65, 72.938, 79.26, 79.26]","[0.94, 0.897, 0.888, 0.886, 0.837, 0.805, 0.8, 0.783, 0.769, 0.735, 0.725, 0.689, 0.629, 0.584, 0.584]","[1.182, 0.648, 0.588, 0.54, 0.512, 0.442, 0.437, 0.436, 0.354, 0.303, 0.275, 0.245, 0.205, 0.2, 0.2]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
31,56.196,92.0,36.0,0,"[35.074, 44.878, 49.36, 50.519, 51.119, 55.152, 55.783, 56.659, 67.47, 67.477, 69.294, 69.294]","[0.903, 0.832, 0.8, 0.791, 0.787, 0.758, 0.753, 0.747, 0.669, 0.669, 0.656, 0.656]","[1.636, 0.986, 0.963, 0.513, 0.457, 0.425, 0.213, 0.164, 0.134, 0.122, 0.059, 0.059]","['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
32,68.195,88.0,30.0,0,"[24.695, 29.621, 41.93, 57.219, 73.585, 75.307, 82.54, 87.974, 89.72, 119.354]","[0.978, 0.942, 0.853, 0.743, 0.625, 0.612, 0.56, 0.521, 0.508, 0.294]","[1.233, 0.774, 0.613, 0.605, 0.387, 0.32, 0.256, 0.216, 0.203, 0.007]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
33,54.224,94.0,34.0,0,"[28.789, 33.523, 34.572, 43.771, 51.579, 67.832, 69.71, 77.113, 67.832]","[0.948, 0.914, 0.906, 0.84, 0.784, 0.666, 0.653, 0.599, 0.666]","[0.88, 0.508, 0.497, 0.438, 0.381, 0.356, 0.302, 0.13, 0.356]","['entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
34,56.806,88.0,36.0,0,"[32.367, 32.649, 36.634, 37.854, 39.152, 49.585, 55.333, 56.168, 72.715, 73.202, 75.42, 36.634, 75.42]","[0.922, 0.92, 0.892, 0.883, 0.873, 0.798, 0.757, 0.75, 0.631, 0.627, 0.611, 0.892, 0.611]","[1.295, 1.092, 0.821, 0.773, 0.763, 0.668, 0.495, 0.487, 0.455, 0.35, 0.301, 0.821, 0.301]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
35,60.074,91.0,31.0,0,"[30.55, 43.683, 47.524, 58.049, 58.462, 58.462]","[0.936, 0.841, 0.813, 0.737, 0.734, 0.734]","[0.721, 0.464, 0.461, 0.416, 0.244, 0.244]","['entailment', 'entailment', 'neutral', 'entailment', 'neutral', 'neutral']"
36,53.334,92.0,35.0,0,"[37.668, 40.672, 42.748, 48.421, 48.679, 49.679, 51.679, 54.11, 55.309, 66.466, 66.938, 54.11]","[0.884, 0.862, 0.847, 0.806, 0.805, 0.797, 0.783, 0.765, 0.757, 0.676, 0.673, 0.765]","[0.783, 0.617, 0.616, 0.614, 0.609, 0.555, 0.457, 0.434, 0.376, 0.361, 0.342, 0.434]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
37,61.645,84.0,34.0,0,"[38.86, 47.732, 48.248, 48.477, 51.393, 57.621, 58.285, 63.905, 67.768, 68.453, 77.225, 51.393, 57.621]","[0.876, 0.811, 0.808, 0.806, 0.785, 0.74, 0.735, 0.695, 0.667, 0.662, 0.598, 0.785, 0.74]","[1.747, 1.38, 1.215, 1.102, 1.086, 0.717, 0.713, 0.59, 0.409, 0.38, 0.245, 1.086, 0.717]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
38,142.237,64.0,30.0,0,"[111.789, 119.874, 123.993, 124.574, 111.789, 119.874, 123.993, 124.574, 170.915]","[0.349, 0.29, 0.26, 0.256, 0.349, 0.29, 0.26, 0.256, -0.078]","[0.579, 0.373, 0.367, 0.307, 0.579, 0.373, 0.367, 0.307, 0.198]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
39,57.272,88.0,33.0,0,"[26.573, 43.9, 44.995, 46.991, 48.153, 49.752, 52.824, 55.742, 57.147, 59.346, 60.476, 63.251, 69.585, 63.251, 43.9, 69.585]","[0.964, 0.839, 0.831, 0.817, 0.808, 0.797, 0.775, 0.754, 0.743, 0.728, 0.719, 0.699, 0.654, 0.699, 0.839, 0.654]","[1.507, 1.352, 1.272, 1.075, 0.965, 0.737, 0.544, 0.504, 0.439, 0.404, 0.348, 0.275, 0.242, 0.275, 1.352, 0.242]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
40,68.105,89.0,30.0,0,"[44.648, 49.853, 55.565, 55.736, 61.78, 61.947, 70.371, 71.214, 72.257, 73.797, 81.98, 84.214, 55.736]","[0.834, 0.796, 0.755, 0.754, 0.71, 0.709, 0.648, 0.642, 0.634, 0.623, 0.564, 0.548, 0.754]","[1.254, 1.174, 0.569, 0.336, 0.329, 0.29, 0.254, 0.185, 0.177, 0.163, 0.045, 0.044, 0.336]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
41,143.412,68.0,26.0,0,"[123.705, 125.83, 133.966, 134.114, 134.506, 125.83, 134.506]","[0.263, 0.247, 0.188, 0.187, 0.185, 0.247, 0.185]","[0.247, 0.179, 0.105, 0.094, 0.071, 0.179, 0.071]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
42,69.427,92.0,30.0,0,"[35.776, 43.052, 71.054, 72.854, 76.895, 71.054, 72.854, 87.08]","[0.898, 0.845, 0.643, 0.63, 0.601, 0.643, 0.63, 0.527]","[0.353, 0.282, 0.281, 0.237, 0.237, 0.281, 0.237, 0.071]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
43,54.1,89.0,33.0,0,"[26.294, 37.514, 40.109, 79.733, 86.849]","[0.966, 0.885, 0.866, 0.58, 0.529]","[1.527, 0.929, 0.494, 0.167, 0.156]","['contradiction', 'neutral', 'contradiction', 'entailment', 'contradiction']"
44,104.021,83.0,34.0,0,"[92.732, 97.119, 97.164, 105.635, 127.454]","[0.486, 0.455, 0.454, 0.393, 0.235]","[0.117, 0.077, 0.076, 0.056, 0.016]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
45,103.017,80.0,24.0,0,"[83.871, 97.071, 101.907, 101.923, 104.193, 105.082, 101.923, 97.071]","[0.55, 0.455, 0.42, 0.42, 0.404, 0.397, 0.42, 0.455]","[0.565, 0.335, 0.23, 0.154, 0.123, 0.094, 0.154, 0.335]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
46,137.532,70.0,24.0,0,"[110.741, 142.127, 144.542, 152.72]","[0.356, 0.129, 0.112, 0.053]","[0.337, 0.04, 0.029, 0.029]","['neutral', 'contradiction', 'contradiction', 'contradiction']"
47,94.017,74.0,30.0,0,"[51.051, 68.964, 72.571, 73.858, 82.868, 96.706, 99.946, 51.051, 96.706, 99.946]","[0.787, 0.658, 0.632, 0.623, 0.558, 0.458, 0.434, 0.787, 0.458, 0.434]","[1.331, 0.958, 0.879, 0.792, 0.615, 0.509, 0.467, 1.331, 0.509, 0.467]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
48,96.493,85.0,30.0,0,"[65.555, 81.763, 97.889, 106.664, 108.168, 118.917]","[0.683, 0.566, 0.449, 0.386, 0.375, 0.297]","[0.247, 0.142, 0.064, 0.058, 0.044, 0.024]","['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
49,135.034,71.0,23.0,0,"[87.938, 182.129]","[0.521, -0.16]","[0.156, 0.007]","['neutral', 'neutral']"
50,164.228,60.0,30.0,0,"[49.618, 112.584, 122.551, 137.775, 159.049, 164.935, 173.417, 173.417, 112.584, 122.551, 137.775, 159.049, 200.974, 203.352, 214.381]","[0.798, 0.343, 0.271, 0.161, 0.007, -0.035, -0.097, -0.097, 0.343, 0.271, 0.161, 0.007, -0.296, -0.313, -0.393]","[0.508, 0.415, 0.176, 0.131, 0.087, 0.074, 0.073, 0.073, 0.415, 0.176, 0.131, 0.087, 0.029, 0.0, 0.0]","['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
51,179.769,56.0,30.0,0,"[96.143, 182.777, 183.868, 187.325, 188.059, 96.143]","[0.462, -0.164, -0.172, -0.197, -0.202, 0.462]","[0.282, 0.036, 0.014, 0.011, 0.009, 0.282]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
52,182.954,54.0,30.0,0,"[86.599, 160.573, 184.41, 205.056, 207.305, 86.599]","[0.531, -0.004, -0.176, -0.325, -0.341, 0.531]","[0.188, 0.148, 0.035, 0.024, 0.0, 0.188]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
53,99.35,83.0,27.0,0,"[59.492, 62.187, 79.63, 92.873, 95.028, 104.686, 119.756, 128.174, 119.756]","[0.726, 0.707, 0.581, 0.485, 0.47, 0.4, 0.291, 0.23, 0.291]","[0.318, 0.199, 0.175, 0.149, 0.142, 0.104, 0.103, 0.088, 0.103]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
54,170.178,58.0,32.0,0,"[43.712, 164.987, 178.922, 183.682, 187.732, 188.273, 188.416, 43.712, 178.922]","[0.84, -0.036, -0.136, -0.171, -0.2, -0.204, -0.205, 0.84, -0.136]","[0.713, 0.155, 0.087, 0.053, 0.028, 0.019, 0.0, 0.713, 0.087]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
55,148.486,63.0,31.0,0,"[42.341, 100.788, 136.836, 173.576, 176.149, 182.196, 183.63, 183.63]","[0.85, 0.428, 0.168, -0.098, -0.116, -0.16, -0.17, -0.17]","[1.125, 0.584, 0.313, 0.058, 0.041, 0.03, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
