question_id,pubmed_id,dataset,answer,short answer,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a,question,vector_scores_question,bm25_scores_raw,bm25_scores_question,reranked_score,ranks,ground_truth,correctness,vector_distances_a_min,vector_distances_a_max,bm25_scores_a_min,bm25_scores_a_max,vector_distances_question_min,vector_distances_question_max,bm25_scores_raw_min,bm25_scores_raw_max,reranked_score_min,reranked_score_max
149,28056802,PubmedQA,"Yes, non‑HDL‑C predicts long‑term MACEs better than LDL‑C in post‑AMI patients.",yes,"[207.557, 216.399, 230.229, 235.231, 264.035, 266.552, 277.766, 336.899]","[0.362, 0.333, 0.288, 0.271, 0.177, 0.168, 0.132, -0.063]","[2.503, 1.154, 1.139, 1.089, 0.881, 0.861, 0.858, 0.44]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]",Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,"[155.379, 199.312, 165.556, 176.559, 158.914, 199.725, 167.206, 46.845]","[0.743, 0.653, 0.722, 0.7, 0.736, 0.652, 0.719, 0.965]","[0, 0, 0, 0, 0, 0, 0, 33.25]","[0, 0, 0, 0, 0, 0, 0, 1.663]","[0.984, 0.959, 0.954, 0.942, 0.583, 0.172, 0.169, 0.986]",yes,correct,207.557,336.899,0.44,2.503,46.845,199.725,0,33.25,0.169,0.986
158,25885219,PubmedQA,"Yes, the observed shifts—lower plasma creatine, reduced urinary excretion, increased renal AGAT, altered hepatic GAMT, higher heart and kidney creatine, and tissue‑specific CrT1 changes—indicate a maternal metabolic adaptation to supply creatine for fetal growth and maternal tissue demands during gestation.",yes,"[105.786, 127.032, 130.329, 130.724, 144.734, 156.361]","[0.697, 0.627, 0.616, 0.615, 0.569, 0.531]","[6.329, 3.904, 3.657, 3.336, 3.213, 2.817]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,"[85.034, 116.974, 92.351, 36.645, 99.34, 83.664]","[0.887, 0.821, 0.872, 0.986, 0.857, 0.89]","[0, 0, 0, 32.61, 22.52, 21.61]","[0, 0, 0, 1.63, 1.126, 1.08]","[0.986, 0.836, 0.793, 0.867, 0.794, 0.368]",yes,correct,105.786,156.361,2.817,6.329,36.645,116.974,0,32.61,0.368,0.986
161,12377809,PubmedQA,"Yes, linear anorectal endosonography is valuable in dyschesia, providing clear visualization of the anal sphincter and puborectalis, allowing accurate measurement of length and thickness at rest and during straining, and detecting paradoxical contraction or absent relaxation that characterizes pelvic‑floor dyssynergia.",yes,"[41.654, 65.783, 80.478, 88.381, 94.466, 114.086, 114.284, 119.448, 133.014, 134.482]","[0.907, 0.828, 0.78, 0.754, 0.734, 0.669, 0.669, 0.652, 0.607, 0.602]","[5.798, 5.697, 4.109, 3.427, 2.756, 2.343, 2.262, 1.634, 0.995, 0.444]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is anorectal endosonography valuable in dyschesia?,"[104.979, 157.673, 194.27, 149.15, 196.862, 153.921, 172.378, 61.215, 125.875, 79.682]","[0.846, 0.738, 0.663, 0.756, 0.658, 0.746, 0.708, 0.935, 0.803, 0.898]","[0, 0, 0, 0, 0, 0, 0, 14.21, 13.43, 15.4]","[0, 0, 0, 0, 0, 0, 0, 0.711, 0.671, 0.77]","[0.995, 0.993, 0.993, 0.987, 0.984, 0.852, 0.789, 0.996, 0.995, 0.993]",yes,correct,41.654,134.482,0.444,5.798,61.215,196.862,0,15.4,0.789,0.996
166,17565137,PubmedQA,"Yes, the counter‑industry ad changed non‑smokers’ view of movie smoking and lowered their future smoking intent, but it had no effect on smokers’ attitudes and actually increased the proportion of smokers who felt unlikely to quit.",yes,"[104.473, 123.427, 142.05, 143.691, 146.221, 153.378, 158.753, 166.355, 168.712, 184.263]","[0.701, 0.639, 0.578, 0.572, 0.564, 0.54, 0.523, 0.498, 0.49, 0.439]","[5.681, 3.693, 2.455, 2.194, 2.034, 1.956, 1.346, 1.288, 1.199, 0.741]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,"[111.364, 106.261, 134.05, 122.419, 112.314, 119.843, 105.41, 110.416, 97.896, 59.611]","[0.833, 0.843, 0.787, 0.81, 0.831, 0.816, 0.845, 0.835, 0.86, 0.939]","[0, 0, 0, 0, 0, 0, 0, 0, 26.48, 35.58]","[0, 0, 0, 0, 0, 0, 0, 0, 1.324, 1.779]","[0.928, 0.885, 0.884, 0.868, 0.796, 0.473, 0.318, 0.209, 0.972, 0.17]",yes,correct,104.473,184.263,0.741,5.681,59.611,134.05,0,35.58,0.17,0.972
177,24684514,PubmedQA,"No, individualized targets based on ASA score and baseline Hb are recommended.",no,"[314.202, 319.054, 398.851, 400.344, 423.82]","[0.012, -0.004, -0.266, -0.271, -0.348]","[2.035, 1.651, 1.323, 0.289, 0.118]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]",Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,"[174.511, 112.906, 174.702, 50.308, 148.115]","[0.704, 0.83, 0.703, 0.958, 0.758]","[0, 0, 0, 23.59, 19.11]","[0, 0, 0, 1.18, 0.955]","[0.995, 0.901, 0.158, 0.982, 0.278]",no,correct,314.202,423.82,0.118,2.035,50.308,174.702,0,23.59,0.158,0.995
178,23360491,PubmedQA,"Yes, spatial attention modulates early ERP responses to affective prosody, but later processing is largely independent.",yes,"[75.949, 87.074, 100.368, 109.315, 111.717, 119.426, 124.18, 124.658, 126.015, 127.913, 133.815, 146.388, 167.138]","[0.795, 0.758, 0.715, 0.685, 0.677, 0.652, 0.636, 0.635, 0.63, 0.624, 0.605, 0.563, 0.495]","[2.018, 1.969, 1.834, 1.197, 1.112, 1.09, 1.06, 1.027, 0.963, 0.699, 0.579, 0.431, 0.182]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is the processing of affective prosody influenced by spatial attention?,"[120.031, 155.953, 158.757, 159.133, 143.532, 136.588, 123.579, 131.278, 118.012, 134.242, 101.307, 55.959, 124.803]","[0.815, 0.742, 0.736, 0.735, 0.767, 0.781, 0.808, 0.792, 0.819, 0.786, 0.853, 0.946, 0.805]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.89, 16.88, 12.76]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.744, 0.844, 0.638]","[0.995, 0.992, 0.991, 0.99, 0.987, 0.961, 0.909, 0.846, 0.395, 0.346, 0.995, 0.992, 0.986]",maybe,incorrect,75.949,167.138,0.182,2.018,55.959,159.133,0,16.88,0.346,0.995
181,20497146,PubmedQA,"Yes, maximal healing occurs when intragastric pH > 4 for about 12–17 h (≈50–70 % of a 24‑h period); beyond that no further benefit.",yes,"[168.038, 173.274, 177.596, 180.065, 181.153, 186.989, 190.412, 200.502]","[0.492, 0.475, 0.461, 0.453, 0.449, 0.43, 0.419, 0.386]","[5.047, 3.519, 1.291, 1.066, 0.603, 0.471, 0.291, 0.186]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,"[155.743, 204.475, 155.258, 164.062, 178.02, 122.084, 56.434, 109.242]","[0.742, 0.643, 0.743, 0.725, 0.697, 0.811, 0.945, 0.837]","[0, 0, 0, 0, 0, 24.67, 27.75, 30.34]","[0, 0, 0, 0, 0, 1.233, 1.388, 1.517]","[0.986, 0.837, 0.699, 0.152, 0.108, 0.981, 0.916, 0.811]",yes,correct,168.038,200.502,0.186,5.047,56.434,204.475,0,30.34,0.108,0.986
185,21394762,PubmedQA,"Yes, pelvic pain is associated with defecatory symptoms in women with pelvic organ prolapse, as shown by increased odds of pain with higher CRADI‑8 scores and significant links to symptoms such as pain with bowel movements, fecal urgency, incomplete evacuation, and straining.",yes,"[42.286, 44.197, 65.436, 101.454, 105.331]","[0.905, 0.899, 0.829, 0.711, 0.698]","[5.467, 4.722, 2.896, 1.702, 0.916]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,"[111.616, 73.468, 134.9, 135.733, 73.186]","[0.832, 0.91, 0.785, 0.783, 0.911]","[0, 0, 0, 0, 26.18]","[0, 0, 0, 0, 1.309]","[0.99, 0.949, 0.938, 0.412, 0.759]",yes,correct,42.286,105.331,0.916,5.467,73.186,135.733,0,26.18,0.412,0.99
193,16971978,PubmedQA,"Yes, complex coronary lesions (bifurcation and ostial) are significantly more frequent in patients with diabetes mellitus.",yes,"[57.403, 60.185, 75.167, 78.885, 88.716, 92.423, 141.522, 152.736]","[0.856, 0.847, 0.797, 0.785, 0.753, 0.741, 0.579, 0.542]","[1.488, 1.373, 1.289, 1.107, 1.055, 0.743, 0.673, 0.626]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]",Are complex coronary lesions more frequent in patients with diabetes mellitus?,"[63.732, 137.818, 222.023, 201.793, 132.796, 118.028, 97.589, 0]","[0.93, 0.779, 0.607, 0.648, 0.789, 0.819, 0.861, 0]","[0, 0, 0, 0, 0, 13.89, 16.44, 13.22]","[0, 0, 0, 0, 0, 0.694, 0.822, 0.661]","[0.99, 0.99, 0.986, 0.297, 0.207, 0.995, 0.992, 0.846]",yes,correct,57.403,152.736,0.626,1.488,0,222.023,0,16.44,0.207,0.995
198,21951591,PubmedQA,"Yes, pain‑related cognitions influence motor performance in chronic low back pain, as shown by worse reaction and movement times in patients, especially when pain expectations are provoked.",yes,"[54.501, 69.573, 91.658, 97.541, 98.191, 105.294, 106.749, 141.425, 148.041]","[0.865, 0.816, 0.743, 0.724, 0.722, 0.698, 0.694, 0.58, 0.558]","[4.794, 3.37, 2.469, 2.119, 2.052, 1.438, 1.185, 1.132, 0.702]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]",Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,"[137.804, 153.85, 134.406, 159.601, 124.174, 151.981, 94.071, 119.895, 46.146]","[0.779, 0.746, 0.786, 0.734, 0.807, 0.75, 0.868, 0.815, 0.966]","[0, 0, 0, 0, 0, 0, 18.64, 22.3, 23.62]","[0, 0, 0, 0, 0, 0, 0.932, 1.115, 1.181]","[0.981, 0.981, 0.979, 0.968, 0.942, 0.214, 0.992, 0.873, 0.357]",yes,correct,54.501,148.041,0.702,4.794,46.146,159.601,0,23.62,0.214,0.992
203,22411435,PubmedQA,"Yes, the higher risk of serious infections with infliximab versus etanercept appears mainly in patients younger than 65 years; no clear variation was seen by sex, race/ethnicity, BMI, or smoking.",yes,"[75.889, 77.761, 84.577, 85.219, 113.891, 132.642, 148.716]","[0.795, 0.789, 0.766, 0.764, 0.67, 0.608, 0.556]","[5.849, 3.203, 2.569, 0.697, 0.399, 0.363, 0.258]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?,"[138.677, 123.219, 146.105, 47.573, 126.096, 101.737, 106.076]","[0.777, 0.809, 0.762, 0.963, 0.803, 0.853, 0.844]","[0, 0, 0, 0, 0, 17.36, 18.04]","[0, 0, 0, 0, 0, 0.868, 0.902]","[0.998, 0.995, 0.987, 0.986, 0.643, 0.995, 0.914]",yes,correct,75.889,148.716,0.258,5.849,47.573,146.105,0,18.04,0.643,0.998
