question_id,mean_distance_a,relevance_score,hallucination_index_by_equation,hallucination_index_by_ml,vector_distances,vector_scores,bm25_scores,rerank_sentiments
46,198.111,92.0,0,25.0,"[141.47, 162.499, 175.636, 186.351, 194.07, 199.666, 199.669, 162.499, 194.07, 243.415, 261.097]","[0.709, 0.667, 0.64, 0.618, 0.603, 0.592, 0.592, 0.667, 0.603, 0.503, 0.467]","[0.11, 0.106, 0.099, 0.059, 0.053, 0.039, 0.034, 0.106, 0.053, 0.018, 0.012]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
47,293.302,82.0,1.0,27.0,"[110.613, 273.991, 384.438, 404.167]","[0.772, 0.441, 0.218, 0.178]","[0.229, 0.027, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral']"
48,168.975,95.0,0,28.0,"[143.555, 152.366, 162.714, 164.051, 166.622, 143.555, 152.366, 162.714, 164.051]","[0.705, 0.687, 0.666, 0.664, 0.658, 0.705, 0.687, 0.666, 0.664]","[0.083, 0.063, 0.051, 0.05, 0.045, 0.083, 0.063, 0.051, 0.05]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
49,291.492,83.0,1.0,24.0,"[243.719, 275.558, 243.719]","[0.502, 0.438, 0.502]","[0.131, 0.019, 0.131]","['neutral', 'neutral', 'neutral']"
50,461.923,67.0,19.0,40.0,"[321.733, 441.226, 452.506, 465.308, 489.765, 321.733, 441.226, 452.506]","[0.345, 0.103, 0.08, 0.054, 0.005, 0.345, 0.103, 0.08]","[0.046, 0.024, 0.0, 0.0, 0.0, 0.046, 0.024, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
51,120.649,97.0,0,27.0,"[65.011, 70.304, 78.763, 101.979, 107.947, 110.787, 126.227, 128.197, 70.304, 65.011, 101.979]","[0.864, 0.853, 0.836, 0.789, 0.777, 0.771, 0.74, 0.736, 0.853, 0.864, 0.789]","[0.612, 0.571, 0.362, 0.235, 0.197, 0.138, 0.084, 0.081, 0.571, 0.612, 0.235]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
52,131.578,99.0,0,25.0,"[85.05, 89.367, 92.365, 95.922, 105.038, 107.068, 109.3, 109.575, 114.693, 115.998, 118.463, 121.433, 127.95, 128.227, 136.611, 115.998, 118.463, 121.433, 95.922, 127.95, 107.068, 109.3]","[0.823, 0.815, 0.808, 0.801, 0.783, 0.779, 0.774, 0.774, 0.763, 0.761, 0.756, 0.75, 0.737, 0.736, 0.719, 0.761, 0.756, 0.75, 0.801, 0.737, 0.779, 0.774]","[0.201, 0.142, 0.141, 0.111, 0.105, 0.1, 0.091, 0.089, 0.076, 0.076, 0.076, 0.073, 0.049, 0.046, 0.045, 0.076, 0.076, 0.073, 0.111, 0.049, 0.1, 0.091]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
53,230.354,89.0,5.0,21.0,"[193.133, 211.793, 216.866, 219.01, 232.283, 234.011, 305.381]","[0.605, 0.567, 0.557, 0.552, 0.526, 0.522, 0.378]","[0.063, 0.063, 0.059, 0.045, 0.025, 0.013, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
54,161.275,95.0,0,26.0,"[126.418, 130.091, 141.356, 145.113, 158.994, 161.706, 161.847, 166.725, 161.706, 130.091]","[0.74, 0.732, 0.709, 0.702, 0.674, 0.668, 0.668, 0.658, 0.668, 0.732]","[0.238, 0.19, 0.133, 0.084, 0.066, 0.057, 0.045, 0.041, 0.057, 0.19]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
55,146.08,96.0,0,22.0,"[113.248, 113.623, 119.566, 119.722, 121.985, 123.324, 124.252, 138.475, 148.366, 154.991, 124.252, 148.366, 154.991, 121.985, 123.324, 198.95]","[0.766, 0.766, 0.753, 0.753, 0.749, 0.746, 0.744, 0.715, 0.695, 0.682, 0.744, 0.695, 0.682, 0.749, 0.746, 0.593]","[0.272, 0.25, 0.235, 0.18, 0.154, 0.15, 0.135, 0.127, 0.125, 0.121, 0.135, 0.125, 0.121, 0.154, 0.15, 0.019]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral']"
56,301.165,83.0,9.0,31.0,"[245.296, 247.679, 272.106, 287.94, 289.742, 291.438, 296.993, 302.568, 245.296, 291.438, 247.679, 272.106, 296.993]","[0.499, 0.494, 0.445, 0.413, 0.409, 0.406, 0.395, 0.383, 0.499, 0.406, 0.494, 0.445, 0.395]","[0.027, 0.025, 0.021, 0.021, 0.02, 0.017, 0.017, 0.017, 0.027, 0.017, 0.025, 0.021, 0.017]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
57,435.284,69.0,24.0,31.0,"[433.288, 437.281]","[0.119, 0.111]","[0.017, 0.004]","['neutral', 'neutral']"
58,249.892,88.0,0,28.0,"[226.165, 273.618]","[0.538, 0.442]","[0.024, 0.01]","['neutral', 'neutral']"
59,458.495,67.0,27.0,35.0,"[314.411, 457.481, 463.686, 314.411, 463.686, 519.858]","[0.36, 0.07, 0.058, 0.36, 0.058, -0.056]","[0.038, 0.019, 0.0, 0.038, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
60,334.141,79.0,8.0,35.0,"[284.308, 295.344, 301.559, 313.168, 295.344, 284.308]","[0.42, 0.398, 0.386, 0.362, 0.398, 0.42]","[0.023, 0.019, 0.018, 0.013, 0.019, 0.023]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
61,182.123,95.0,0,34.0,"[130.9, 131.012, 143.105, 149.036, 152.556, 158.698, 185.273, 186.2, 186.2, 131.012, 143.105, 149.036, 152.556, 158.698]","[0.731, 0.73, 0.706, 0.694, 0.687, 0.674, 0.621, 0.619, 0.619, 0.73, 0.706, 0.694, 0.687, 0.674]","[0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
62,147.766,97.0,0,27.0,"[100.999, 104.756, 112.392, 112.529, 119.072, 119.698, 123.613, 132.273, 138.041, 141.259, 104.756, 138.041, 112.392, 141.259, 100.999, 119.072, 123.613]","[0.791, 0.783, 0.768, 0.768, 0.754, 0.753, 0.745, 0.728, 0.716, 0.71, 0.783, 0.716, 0.768, 0.71, 0.791, 0.754, 0.745]","[0.099, 0.089, 0.085, 0.084, 0.077, 0.072, 0.059, 0.058, 0.046, 0.044, 0.089, 0.046, 0.085, 0.044, 0.099, 0.077, 0.059]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
63,139.911,98.0,0,30.0,"[117.5, 136.803, 145.459, 145.459]","[0.758, 0.719, 0.701, 0.701]","[0.069, 0.061, 0.05, 0.05]","['neutral', 'neutral', 'neutral', 'neutral']"
64,122.965,99.0,0,27.0,"[89.139, 99.436, 101.492, 103.837, 105.583, 111.581, 122.407, 131.049, 149.696, 89.139, 105.583]","[0.815, 0.794, 0.79, 0.785, 0.782, 0.77, 0.748, 0.73, 0.693, 0.815, 0.782]","[0.162, 0.135, 0.096, 0.094, 0.072, 0.068, 0.061, 0.056, 0.044, 0.162, 0.072]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
65,180.35,94.0,0,24.0,"[140.331, 155.11, 169.146, 169.422, 177.221, 180.089, 181.027, 181.378, 184.543, 169.146, 140.331, 169.422, 177.221]","[0.712, 0.682, 0.653, 0.653, 0.637, 0.631, 0.629, 0.629, 0.622, 0.653, 0.712, 0.653, 0.637]","[0.146, 0.115, 0.103, 0.103, 0.094, 0.057, 0.047, 0.042, 0.037, 0.103, 0.146, 0.103, 0.094]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
