pubmed_id,questions
67fb064318b1e36f2e00010d,What are aptamers made of?
67d7228818b1e36f2e000034,Mean survival after a diagnosis of multiple sclerosis.
67e6bf8818b1e36f2e0000c5,What is the target of Zodasiran?
680f4c63353a4a2e6b00000d,What is the pharmacological treatment of urinary schistosomiasis?
680a083218b1e36f2e00014d,Are microglia involved in synaptic pruning during development?
67e133f118b1e36f2e00006f,Why is Calabash chalk consumed by pregnant women?
6810f6f0353a4a2e6b000015,Can GLP-1 receptor agonists be used for obesity in children under 10 years of age?
67e4165d18b1e36f2e0000a6,Are biologicals safe during pregnancy?
67e6b34318b1e36f2e0000b9,rVSV-ZEBOV-GP is used for which disease?
67d496ed18b1e36f2e000019,What's the increase in CORE profiles in JASPAR 2024 compared to the previous version?
67cc826c81b102733300000b,Is Geographic Atrophy(GA) found in the hand or foot?
67dede2918b1e36f2e000062,Which ensemble machine-learning framework has been developed for predicting druggability?
67fc323818b1e36f2e00012d,What is the term for when a structural rearrangement places an oncogene under the control of a foreign enhancer?
680d5e47353a4a2e6b000005,Is bronchiectasis a chronic or acute condition?
67e6c0f618b1e36f2e0000c7,Can Fasudil be used for subarachnoid haemorrhage?
67d6be8a18b1e36f2e000022,Can newborns have glaucoma?
67e94f4418b1e36f2e0000dc,Is Ameloblastoma a malignant type of cancer?
67eb6ea518b1e36f2e0000e9,Can melanoma occur in areas not exposed to sunlight?
662fc277187cba990d000013,Does the consensus molecular subtype (CMS) classification for colorectal cancer any use in routine clinical practice?
67c9e75881b1027333000006,What is the function of CD47
67fbe25118b1e36f2e000115,Is obesity a familial syndrome?
67ded64018b1e36f2e000060,What is a payload in the context of a drug?
67fbee9818b1e36f2e000124,What proportion of the cells in GBM are typically macrophages/microglia?
67e26d6218b1e36f2e000074,Typical age range of onset of systemic scleroderma.
67cde41a81b102733300001d,Is urolithiasis the same thing as kidney stones?
67e6c9d518b1e36f2e0000cd,How many individuals were selected for generation of whole-genome sequencing data in the Mexico City Prospective Study?
67dc41a618b1e36f2e000059,Does loss of the tumour suppressor LKB1/STK11 contribute to cancer resistance?
67e2cd8b18b1e36f2e000097,What is the treatment for paracetamol intoxication?
67ded55318b1e36f2e00005f,Is botulism toxin A used to treat arthritis?
67fbe7b818b1e36f2e00011f,Are physicians at higher risk of suicide than the general population?
67cc9d4c81b1027333000015,Are ameleographics (AKA tooth prints) useful for forensic identification?
6810cb23353a4a2e6b000012,Biopharmaceuticals for pediatric bronchiolitis.
67eb70ee18b1e36f2e0000eb,Does glioblastoma commonly metastasize outside the central nervous system (CNS)?
6810ff8f353a4a2e6b000017,Is Laparoscopic salpingectomy used to treat testicular cancer?
67e0906c18b1e36f2e00006b,What is a seroma?
67d751e418b1e36f2e000040,Which protein is silencing MIR139 in order to promote AML oncogenesis?
67e090be18b1e36f2e00006c,Is Bacillus Clausii a probiotic?
67d03a2581b1027333000028,is Anopheles the genus of a parasitic fly?
67e2b0a018b1e36f2e00008b,Bacteria that most commonly causes urinary tract infection.
67fbd58c18b1e36f2e00010e,"Do misfolded and aggregated proteins build up in neurodegenerative illnesses, which causes neuronal dysfunction and ultimately neuronal death?"
67d3434d18b1e36f2e000002,Which biomedical challenge has been designed to facilitate interaction between biomedical experts and automated question-answering systems in order to promote COVID-19 research?
67d34ad518b1e36f2e000005,Is high WEE1 expression linked to PARP inhibition resistance?
67d48f6c18b1e36f2e000017,Which computational method exists for prediction of transcriptional condensate-associated genomic regions?
67e2958018b1e36f2e000084,Are there any studies on the genetics of suicide?
6810db0a353a4a2e6b000014,What is the cause of Fibromyalgia?
680f4a68353a4a2e6b000007,Do biopharmaceuticals have a role in the treatment of depression?
67e2944218b1e36f2e000083,Which cytoscape application has been developed for the study of metabolic pathway evolution?
67faf34018b1e36f2e00010a,"Have high values of blood pressure, body mass index (BMI), and non-high-density lipoprotein (HDL) cholesterol been associated with increased dementia risk in late life?"
67cc97c481b1027333000012,On what part of the body is Fontan Palliation(AKA Fontan proceedure) performed?
67e6bdc618b1e36f2e0000c2,What is the target of Tulisokibart?
67fd734e18b1e36f2e00013f,Do CD8+ T cells and NK cells both express cytotoxic granules like perforin and granzyme B?
67e5712e18b1e36f2e0000b2,Plaques en Prairie Fauchée are specific to which disease?
67e26b0b18b1e36f2e000073,Is takotsubo cardiomyopathy more common in men?
662154f0b9f8b89d7e000009,What is the most appropriate systemic treatment for conversion therapy in colorectal cancer with potentially resectable liver metastasis?
67fbe49218b1e36f2e00011b,Can schizophrenia be diagnosed after 50?
67eb86d618b1e36f2e0000f2,Can a single gene be regulated by multiple enhancers?
68110110353a4a2e6b000018,In patients with acute liver failure associated with  paracetamol overdose does  N?acetylcysteine treatment improve survival?.
67e28ded18b1e36f2e000080,Most common reversible cause of infertility in men.
67e5530418b1e36f2e0000aa,Does Plozasiran reduce the risk of pancreatitis?
67f857eb18b1e36f2e000105,Is delirium a frequent complication after cardiac surgery?
67eaf29c18b1e36f2e0000e0,What mutation is found in about 50% of melanomas?
67d6bda918b1e36f2e000021,What is the cause of African trypanosomiasis?
67e2d99318b1e36f2e00009e,Do CNVs contribute to the genetic architecture of familial generalized and focal epilepsies?
67e2b8a818b1e36f2e000091,Are biologics used in pancreatic cancer?
67fb046e18b1e36f2e00010c,What is the gene target for  Zanidatamab?
67e40c0f18b1e36f2e0000a2,Prevention of maternal transmission of CMV infection.
67fbe68c18b1e36f2e00011e,At which age should men start prostate cancer screening?
67da0c0f18b1e36f2e000052,What is the most common EGFR mutation in glioblastoma multiforme?
67d7203018b1e36f2e00002d,Estimated prevalence of postpartum psychosis.
67d721d118b1e36f2e000031,Are systemic beta lactams considered harmful to the human microbiome?
67e6d1b518b1e36f2e0000d3,Which association in clonal haematopoiesis has been identified in the UK biobank proteogenomics study?
67f6f18918b1e36f2e000101,Where do infiltrating macrophages in GBM derive from?
67d74a9b18b1e36f2e00003a,Are transcription factors of the GATA family found in the brain?
67e573f418b1e36f2e0000b4,Is Infigratinib effective for Achondroplasia?
67e08afd18b1e36f2e00006a,Eptinezumab is a monclonal antibody direct againest what protein?
67fbe2f318b1e36f2e000117,Does pilates reduce pelvic pain?
67e2bde318b1e36f2e000093,Is obesity a risk factor for sleep apnea?
67c847f581b1027333000003,Is age an underlying factor in the eye disease AMD?
680a079718b1e36f2e000147,Do natural killer (NK) cells require antigen presentation to eliminate cancer cells?
67eb55f418b1e36f2e0000e7,What is the most common genetic alteration in primary glioblastoma?
67d34fb318b1e36f2e000007,Which role does AAAGG have in RFC1 repeat expansions?
67e288d518b1e36f2e00007c,Country with the highest incidence of African Trypanosomiasis (sleeping sickness).
67fbe3cf18b1e36f2e00011a,Is there any biomarker for borderline personality disorder?
67cc89fa81b102733300000c,Is the inactivation of the X chromsome linked to cognition?
67e4571218b1e36f2e0000a7,Is perampanel associated with homicidal ideation?
67d6b4e218b1e36f2e00001e,Is childhood asthma more common in highly polluted areas?
67fc555a18b1e36f2e000131,What organ is evaluated by Hysterosalpingography (HSG)?
67e2849218b1e36f2e00007a,What is the most common genetic variant of cystic fibrosis?
67d3518718b1e36f2e000008,Which disease is caused by heterozygous UCHL1 loss-of-function variants?
67d7fe2618b1e36f2e000044,Vector of zika virus.
67e6d27518b1e36f2e0000d4,What is the target of Zolbetuximab?
67d4354518b1e36f2e000010,Prevalence of Premenstrual Dysphoric Disorder
680a07ed18b1e36f2e000149,What neurotransmitter is most associated with muscle activation?
67fd5d6518b1e36f2e000138,What is a common chromosome-level gain in glioblastoma?
65f7741fc4010b4d78000027,What proportion of colorectal cancer cases are not assignable to any of the consensus molecular subtype (CMS) groups?
67e0053118b1e36f2e000067,Do MiOXSYS and OxiSperm measure ROS(Reactive Oxygen Species) in sperm?
67e2b5fb18b1e36f2e00008e,Can a mother positive for Hepatitis B breastfeed?
680f4ae9353a4a2e6b000009,Is Electroconvulsive Therapy used for any type of epilepsy?
66301d1d187cba990d000026,Are respiratory measurements correlated with disease severity in Duchenne Muscular Dystrophy?
67ca061181b102733300000a,XIST proteins mediate what cellular process?
67e6bd0e18b1e36f2e0000c1,Lenacapavir is tested in which disease?
67e12bc718b1e36f2e00006e,Can the temporomandibular joint be successfully replaced?
67e69e7918b1e36f2e0000b7,Is Inebilizumab effective for the IgG4-Related Disease?
67fc1a3818b1e36f2e000129,What is Nissen fundoplication
67cc960381b102733300000f,What are desflurane and sevoflurane?
67e6c2fa18b1e36f2e0000c8,Can gepotidacin be used for meningitis?
67d7506e18b1e36f2e00003f,What is the consensus binding site of the TEAD transcription factors?
67fa3c5818b1e36f2e000109,What is BIONDA
67df18f518b1e36f2e000064,Is MAP3K15 associated with obesity?
680a07a418b1e36f2e000148,Which cells are the primary antigen-presenting cells?
67d71d8f18b1e36f2e00002b,Is Clostridioides difficile an aerobe or a anaerobe bacterium?
67e6cf2618b1e36f2e0000d0,Should Zotiraciclib be used for glioblastoma?
67dc452018b1e36f2e00005a,Is CYLD an extracellular matrix regulator?
67ed4c9018b1e36f2e0000f5,Is there any DNA vaccine approved for use in humans?
67cec6e781b1027333000021,Is creatinine usually elevated in Drug-induced intestinal neuropathy(DAIN)?
67e6be3118b1e36f2e0000c3,What disease can be treated with Fidanacogene elaparvovec?
