QID,pubmed_id,mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments
11,2405.17070v2,169.275,49.0,31.0,"[95.325, 119.217, 125.715, 184.14, 184.14, 192.822, 219.342, 228.282]","[0.731, 0.653, 0.631, 0.439, 0.439, 0.411, 0.324, 0.294]","[0.758, 0.621, 0.314, 0.128, 0.128, 0.094, 0.067, 0.055]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
12,2409.02275v2,266.524,17.0,69.0,"[252.192, 260.608, 252.192, 264.689, 292.982]","[0.216, 0.188, 0.216, 0.175, 0.082]","[0.536, 0.121, 0.536, 0.076, 0.048]","['contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction']"
13,2406.07726v3,297.213,7.0,80.0,"[264.285, 277.528, 292.009, 292.009, 277.528, 314.046, 328.563]","[0.176, 0.132, 0.085, 0.085, 0.132, 0.012, -0.035]","[0.301, 0.24, 0.123, 0.123, 0.24, 0.021, 0.013]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
14,2404.19707v4,150.704,55.0,39.0,"[125.303, 129.038, 144.61, 149.704, 149.704, 129.038]","[0.633, 0.62, 0.569, 0.552, 0.552, 0.62]","[0.289, 0.248, 0.239, 0.189, 0.189, 0.248]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']"
15,2408.02322v2,151.009,55.0,28.0,"[110.329, 116.239, 119.498, 131.103, 141.484, 154.496, 154.854, 158.392, 175.899, 175.899, 116.239]","[0.682, 0.662, 0.652, 0.614, 0.579, 0.537, 0.536, 0.524, 0.466, 0.466, 0.662]","[0.371, 0.356, 0.333, 0.288, 0.259, 0.202, 0.181, 0.157, 0.108, 0.108, 0.356]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
16,2405.13422v2,298.806,6.0,77.0,"[225.99, 243.117, 225.99, 243.117, 314.788, 325.926, 334.896, 383.956]","[0.302, 0.245, 0.302, 0.245, 0.01, -0.027, -0.056, -0.217]","[0.181, 0.171, 0.181, 0.171, 0.083, 0.069, 0.056, 0.052]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
17,2407.02511v2,177.565,46.0,44.0,"[134.862, 150.786, 160.253, 187.227, 188.284, 160.253, 212.976]","[0.601, 0.549, 0.518, 0.429, 0.426, 0.518, 0.345]","[0.466, 0.418, 0.393, 0.348, 0.109, 0.393, 0.103]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
18,2407.04378v2,195.398,40.0,67.0,"[112.158, 114.687, 112.158, 114.687, 166.21, 176.132, 202.933, 204.087, 251.693, 301.11, 308.448]","[0.676, 0.667, 0.676, 0.667, 0.498, 0.466, 0.378, 0.374, 0.217, 0.055, 0.031]","[0.575, 0.503, 0.575, 0.503, 0.181, 0.162, 0.157, 0.138, 0.101, 0.084, 0.018]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
19,2407.17674v2,330.088,0,99.0,"[246.777, 276.359, 283.869, 289.368, 246.777, 276.359, 283.869, 289.368, 338.312, 338.895, 351.691, 354.65, 356.736, 359.543, 368.576, 373.417, 379.503, 383.758]","[0.233, 0.136, 0.112, 0.094, 0.233, 0.136, 0.112, 0.094, -0.067, -0.069, -0.111, -0.121, -0.128, -0.137, -0.167, -0.183, -0.203, -0.217]","[0.319, 0.118, 0.083, 0.074, 0.319, 0.118, 0.083, 0.074, 0.041, 0.031, 0.03, 0.03, 0.025, 0.01, 0.008, 0.008, 0.0, 0.0]","['contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction']"
20,2403.20331v2,367.757,0,99.0,"[216.723, 292.578, 310.238, 312.224, 321.012, 345.06, 365.325, 216.723, 292.578, 310.238, 312.224, 321.012, 345.06, 365.325, 425.114, 435.54]","[0.332, 0.083, 0.025, 0.018, -0.01, -0.089, -0.156, 0.332, 0.083, 0.025, 0.018, -0.01, -0.089, -0.156, -0.353, -0.387]","[0.16, 0.159, 0.153, 0.149, 0.11, 0.08, 0.078, 0.16, 0.159, 0.153, 0.149, 0.11, 0.08, 0.078, 0.0, 0.0]","['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']"
21,2406.18052v3,240.537,25.0,63.0,"[181.056, 184.234, 214.061, 220.948, 271.918, 290.16, 290.16]","[0.449, 0.439, 0.341, 0.318, 0.151, 0.091, 0.091]","[0.156, 0.11, 0.107, 0.084, 0.083, 0.009, 0.009]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
22,2403.13015v2,340.999,0,87.0,"[273.524, 290.292, 290.292, 362.806, 363.651, 366.412, 392.902]","[0.146, 0.09, 0.09, -0.148, -0.151, -0.16, -0.247]","[0.065, 0.051, 0.051, 0.019, 0.01, 0.002, 0.001]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
23,2404.09796v2,172.209,48.0,46.0,"[104.978, 112.605, 133.542, 165.129, 209.356, 217.201, 112.605]","[0.699, 0.674, 0.606, 0.502, 0.356, 0.331, 0.674]","[0.428, 0.378, 0.34, 0.121, 0.108, 0.089, 0.378]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
24,2402.09444v3,284.014,11.0,76.0,"[228.483, 244.582, 269.256, 271.703, 283.603, 286.332, 286.376, 228.483, 244.582, 269.256, 271.703, 286.376]","[0.294, 0.241, 0.16, 0.152, 0.112, 0.103, 0.103, 0.294, 0.241, 0.16, 0.152, 0.103]","[0.158, 0.095, 0.079, 0.079, 0.06, 0.059, 0.053, 0.158, 0.095, 0.079, 0.079, 0.053]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
25,2404.19707v3,233.206,28.0,57.0,"[172.362, 197.886, 198.545, 200.407, 209.113, 209.113, 217.948, 223.203, 227.42, 227.523, 229.696, 223.203, 227.42, 172.362, 227.523, 229.696, 200.407, 275.771, 284.542, 299.112]","[0.478, 0.394, 0.392, 0.386, 0.357, 0.357, 0.328, 0.311, 0.297, 0.297, 0.29, 0.311, 0.297, 0.478, 0.297, 0.29, 0.386, 0.138, 0.109, 0.061]","[0.184, 0.169, 0.128, 0.126, 0.102, 0.1, 0.083, 0.074, 0.071, 0.069, 0.068, 0.074, 0.071, 0.184, 0.069, 0.068, 0.126, 0.038, 0.034, 0.032]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
26,2410.11774v2,253.593,21.0,72.0,"[176.705, 183.513, 236.179, 245.33, 176.705, 245.33, 183.513, 287.833, 328.382]","[0.464, 0.441, 0.268, 0.238, 0.464, 0.238, 0.441, 0.099, -0.035]","[0.154, 0.127, 0.082, 0.067, 0.154, 0.067, 0.127, 0.026, 0.018]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
27,2405.11284v3,424.6,0,91.0,"[340.407, 375.721, 376.236, 398.921, 406.8, 428.981, 406.8, 340.407, 375.721, 428.981, 473.742, 494.099]","[-0.074, -0.19, -0.192, -0.266, -0.292, -0.365, -0.292, -0.074, -0.19, -0.365, -0.512, -0.579]","[0.057, 0.057, 0.051, 0.05, 0.042, 0.041, 0.042, 0.057, 0.057, 0.041, 0.0, 0.0]","['contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
28,2406.18046v2,234.691,27.0,57.0,"[204.88, 205.213, 221.808, 249.21, 250.386, 250.386]","[0.371, 0.37, 0.316, 0.225, 0.222, 0.222]","[0.257, 0.062, 0.057, 0.029, 0.016, 0.016]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
29,2405.04904v2,223.151,31.0,50.0,"[138.625, 158.85, 206.657, 223.427, 239.639, 241.537, 239.639, 241.537, 158.85, 0]","[0.589, 0.522, 0.365, 0.31, 0.257, 0.251, 0.257, 0.251, 0.522, 0]","[0.074, 0.069, 0.052, 0.046, 0.042, 0.03, 0.042, 0.03, 0.069, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
30,2405.16945v4,235.474,27.0,58.0,"[125.507, 199.528, 207.69, 217.162, 228.234, 235.447, 237.042, 241.282, 241.549, 265.0, 235.447, 237.042]","[0.632, 0.389, 0.362, 0.331, 0.294, 0.271, 0.265, 0.252, 0.251, 0.174, 0.271, 0.265]","[0.583, 0.213, 0.157, 0.088, 0.08, 0.073, 0.02, 0.02, 0.003, 0.003, 0.073, 0.02]","['neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
31,2406.14174v3,420.926,0,79.0,"[385.737, 388.051, 389.736, 397.03, 389.736, 388.051, 463.055, 470.649]","[-0.223, -0.231, -0.236, -0.26, -0.236, -0.231, -0.477, -0.502]","[0.045, 0.036, 0.019, 0.018, 0.019, 0.036, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
32,2403.03367v4,180.611,45.0,55.0,"[97.463, 116.794, 132.254, 146.01, 174.185, 182.033, 190.352, 193.463, 174.185, 182.033, 190.352, 146.01]","[0.724, 0.661, 0.61, 0.565, 0.472, 0.446, 0.419, 0.409, 0.472, 0.446, 0.419, 0.565]","[0.595, 0.585, 0.565, 0.505, 0.475, 0.358, 0.336, 0.335, 0.475, 0.358, 0.336, 0.505]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
33,2411.00816v2,293.953,8.0,85.0,"[209.163, 221.375, 237.923, 247.329, 276.184, 277.875, 290.757, 295.553, 209.163, 221.375, 237.923, 290.757, 247.329, 295.553, 276.184, 277.875, 369.469]","[0.357, 0.317, 0.263, 0.232, 0.137, 0.131, 0.089, 0.073, 0.357, 0.317, 0.263, 0.089, 0.232, 0.073, 0.137, 0.131, -0.17]","[0.35, 0.267, 0.245, 0.233, 0.097, 0.079, 0.066, 0.052, 0.35, 0.267, 0.245, 0.066, 0.233, 0.052, 0.097, 0.079, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']"
34,2401.11899v3,214.832,34.0,57.0,"[176.87, 184.89, 193.884, 201.448, 193.884, 184.89, 201.448, 218.052, 221.301, 232.289, 235.232, 287.739]","[0.463, 0.437, 0.407, 0.382, 0.407, 0.437, 0.382, 0.328, 0.317, 0.281, 0.271, 0.099]","[0.247, 0.151, 0.12, 0.115, 0.12, 0.151, 0.115, 0.094, 0.087, 0.084, 0.079, 0.01]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
35,2408.13702v3,208.874,36.0,62.0,"[155.843, 184.509, 188.008, 155.843, 188.008, 236.956, 275.003]","[0.532, 0.438, 0.427, 0.532, 0.427, 0.266, 0.141]","[0.631, 0.363, 0.299, 0.631, 0.299, 0.242, 0.099]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
36,2410.03969v3,321.837,0,82.0,"[269.395, 287.524, 305.27, 309.055, 318.349, 287.524, 309.055, 269.395, 346.666, 352.728, 356.149]","[0.159, 0.1, 0.041, 0.029, -0.002, 0.1, 0.029, 0.159, -0.095, -0.115, -0.126]","[0.052, 0.024, 0.02, 0.02, 0.02, 0.024, 0.02, 0.052, 0.011, 0.01, 0.009]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
37,2408.16142v4,233.492,28.0,41.0,"[200.894, 213.148, 214.242, 216.141, 222.03, 230.267, 237.384, 237.799, 237.384, 213.148, 255.948, 281.028]","[0.384, 0.344, 0.34, 0.334, 0.315, 0.288, 0.264, 0.263, 0.264, 0.344, 0.203, 0.121]","[0.237, 0.229, 0.223, 0.196, 0.189, 0.179, 0.147, 0.141, 0.147, 0.229, 0.077, 0.024]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment']"
38,2409.07413v5,254.381,21.0,75.0,"[152.08, 170.042, 191.862, 198.309, 225.946, 230.258, 248.5, 254.048, 152.08, 170.042, 191.862, 198.309, 225.946, 230.258, 248.5, 254.048, 303.892, 304.81, 308.086, 320.825]","[0.545, 0.486, 0.414, 0.393, 0.302, 0.288, 0.228, 0.21, 0.545, 0.486, 0.414, 0.393, 0.302, 0.288, 0.228, 0.21, 0.046, 0.043, 0.032, -0.01]","[0.536, 0.267, 0.236, 0.189, 0.167, 0.157, 0.128, 0.11, 0.536, 0.267, 0.236, 0.189, 0.167, 0.157, 0.128, 0.11, 0.046, 0.026, 0.018, 0.016]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction']"
39,2407.02511v2,239.592,26.0,60.0,"[92.235, 169.193, 216.497, 261.353, 270.565, 92.235, 169.193]","[0.741, 0.488, 0.333, 0.186, 0.155, 0.741, 0.488]","[0.137, 0.118, 0.068, 0.031, 0.01, 0.137, 0.118]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
40,2412.15322v2,255.948,20.0,72.0,"[180.427, 236.984, 241.008, 180.427, 241.008, 236.984, 277.447, 277.54, 292.531]","[0.451, 0.266, 0.252, 0.451, 0.252, 0.266, 0.133, 0.132, 0.083]","[0.262, 0.187, 0.131, 0.262, 0.131, 0.187, 0.086, 0.036, 0.012]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
41,2412.16320v3,206.685,37.0,56.0,"[136.257, 192.163, 199.447, 202.333, 202.333, 192.163]","[0.597, 0.413, 0.389, 0.38, 0.38, 0.413]","[0.606, 0.295, 0.189, 0.154, 0.154, 0.295]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
42,2403.20331v2,371.633,0,95.0,"[308.939, 328.511, 357.847, 360.936, 308.939, 328.511, 357.847, 400.03, 424.467]","[0.029, -0.035, -0.131, -0.142, 0.029, -0.035, -0.131, -0.27, -0.35]","[0.096, 0.047, 0.029, 0.0, 0.096, 0.047, 0.029, 0.0, 0.0]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
43,2410.12036v2,283.172,11.0,87.0,"[236.989, 256.075, 263.626, 266.141, 274.265, 281.136, 285.083, 285.083, 286.641, 290.322, 292.238, 297.867, 236.989, 256.075, 263.626]","[0.266, 0.203, 0.178, 0.17, 0.143, 0.121, 0.108, 0.108, 0.102, 0.09, 0.084, 0.066, 0.266, 0.203, 0.178]","[0.562, 0.203, 0.162, 0.153, 0.065, 0.062, 0.055, 0.051, 0.032, 0.029, 0.02, 0.02, 0.562, 0.203, 0.162]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
44,2408.06994v2,323.244,0,88.0,"[269.153, 286.274, 289.539, 291.092, 269.153, 286.274, 289.539, 291.092, 457.003]","[0.16, 0.104, 0.093, 0.088, 0.16, 0.104, 0.093, 0.088, -0.457]","[0.2, 0.086, 0.06, 0.043, 0.2, 0.086, 0.06, 0.043, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
45,2409.02476v2,134.554,60.0,30.0,"[105.165, 109.631, 116.248, 118.861, 124.606, 126.403, 128.446, 130.551, 151.27, 164.424, 105.165, 164.424]","[0.699, 0.684, 0.662, 0.654, 0.635, 0.629, 0.622, 0.615, 0.547, 0.504, 0.699, 0.504]","[0.428, 0.423, 0.411, 0.344, 0.344, 0.305, 0.296, 0.269, 0.178, 0.175, 0.428, 0.175]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
46,2412.05495v6,188.383,43.0,47.0,"[112.092, 185.439, 194.984, 112.092, 211.883, 225.089]","[0.676, 0.435, 0.404, 0.676, 0.348, 0.305]","[0.261, 0.11, 0.094, 0.261, 0.075, 0.03]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
47,2410.20982v2,303.806,5.0,81.0,"[223.369, 230.767, 253.77, 259.906, 261.569, 276.412, 283.582, 223.369, 230.767, 253.77, 259.906, 283.582, 328.972, 343.017, 355.342, 356.98, 443.167]","[0.31, 0.286, 0.21, 0.19, 0.185, 0.136, 0.113, 0.31, 0.286, 0.21, 0.19, 0.113, -0.037, -0.083, -0.123, -0.129, -0.412]","[0.138, 0.077, 0.06, 0.056, 0.055, 0.045, 0.044, 0.138, 0.077, 0.06, 0.056, 0.044, 0.014, 0.0, 0.0, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
48,2407.06295v3,258.774,19.0,68.0,"[202.504, 247.647, 270.612, 202.504, 247.647]","[0.379, 0.231, 0.155, 0.379, 0.231]","[0.184, 0.079, 0.052, 0.184, 0.079]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
49,2412.20570v1,431.58,0,86.0,"[420.355, 422.765, 424.245, 429.857, 439.296, 422.765, 439.296]","[-0.337, -0.345, -0.35, -0.368, -0.399, -0.345, -0.399]","[0.112, 0.083, 0.045, 0.039, 0.0, 0.083, 0.0]","['contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']"
50,2406.10343v4,252.874,21.0,66.0,"[211.639, 212.633, 228.583, 241.922, 242.221, 244.298, 253.282, 257.586, 260.664, 265.467, 228.583, 260.664, 241.922, 265.467]","[0.349, 0.346, 0.293, 0.249, 0.248, 0.242, 0.212, 0.198, 0.188, 0.172, 0.293, 0.188, 0.249, 0.172]","[0.5, 0.443, 0.418, 0.34, 0.134, 0.119, 0.105, 0.09, 0.081, 0.076, 0.418, 0.081, 0.34, 0.076]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
51,2405.19171v3,225.542,30.0,50.0,"[168.308, 177.353, 182.292, 195.102, 195.779, 206.536, 213.987, 221.459, 238.99, 239.669, 239.704, 195.779, 238.99, 195.102, 239.704, 289.415]","[0.491, 0.462, 0.445, 0.403, 0.401, 0.366, 0.341, 0.317, 0.259, 0.257, 0.257, 0.401, 0.259, 0.403, 0.257, 0.093]","[0.185, 0.133, 0.102, 0.061, 0.06, 0.057, 0.052, 0.05, 0.043, 0.035, 0.032, 0.06, 0.043, 0.061, 0.032, 0.013]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']"
52,2412.00886v2,170.023,49.0,32.0,"[144.631, 149.518, 149.657, 152.553, 157.271, 144.631, 149.518, 157.271]","[0.569, 0.553, 0.553, 0.543, 0.528, 0.569, 0.553, 0.528]","[0.236, 0.215, 0.146, 0.145, 0.126, 0.236, 0.215, 0.126]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
53,2407.11613v2,231.04,29.0,65.0,"[140.369, 190.193, 201.943, 216.849, 221.806, 221.806, 190.193, 201.943, 216.849, 276.331, 319.784]","[0.583, 0.419, 0.381, 0.332, 0.316, 0.316, 0.419, 0.381, 0.332, 0.136, -0.006]","[0.539, 0.191, 0.173, 0.164, 0.163, 0.163, 0.191, 0.173, 0.164, 0.092, 0.032]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
54,2410.17011v3,206.732,37.0,40.0,"[167.653, 173.998, 183.608, 196.669, 221.942, 221.942, 256.777]","[0.493, 0.473, 0.441, 0.398, 0.315, 0.315, 0.201]","[0.404, 0.299, 0.189, 0.105, 0.098, 0.098, 0.077]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
55,2405.08806v2,184.672,44.0,52.0,"[99.001, 109.395, 123.056, 132.392, 134.108, 148.717, 151.22, 155.409, 176.475, 183.153, 187.777, 99.001, 183.153, 123.056, 132.392, 134.108, 148.717, 151.22, 155.409, 263.181]","[0.719, 0.685, 0.64, 0.609, 0.604, 0.556, 0.547, 0.534, 0.464, 0.443, 0.427, 0.719, 0.443, 0.64, 0.609, 0.604, 0.556, 0.547, 0.534, 0.18]","[1.07, 0.853, 0.628, 0.611, 0.491, 0.486, 0.472, 0.46, 0.404, 0.39, 0.364, 1.07, 0.39, 0.628, 0.611, 0.491, 0.486, 0.472, 0.46, 0.062]","['contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction']"
56,2410.23587v3,220.121,32.0,57.0,"[111.85, 113.548, 172.429, 174.042, 174.065, 111.85, 172.429, 174.065, 357.759]","[0.677, 0.671, 0.478, 0.472, 0.472, 0.677, 0.478, 0.472, -0.131]","[0.461, 0.238, 0.226, 0.21, 0.16, 0.461, 0.226, 0.16, 0.0]","['neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral']"
57,2412.18449v2,150.546,55.0,27.0,"[131.589, 143.482, 153.444, 154.059, 159.739, 160.963]","[0.612, 0.573, 0.54, 0.538, 0.519, 0.515]","[0.068, 0.041, 0.034, 0.026, 0.022, 0.017]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
