pubmed_id,questions
17051586,Can folic acid protect against congenital heart defects in Down syndrome?
25007420,Are there mental health differences between francophone and non-francophone populations in manitoba?
26556589,Does type 1 diabetes mellitus affect Achilles tendon response to a 10 km run?
26194560,Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?
21172844,Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?
27581329,Estimation of basal metabolic rate in Chinese: are the current prediction equations applicable?
11867487,Does rugby headgear prevent concussion?
9854965,Dementia and aphasia in motor neuron disease: an underrecognised association?
19131405,Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?
18667100,Do risk factors for suicidal behavior differ by affective disorder polarity?
10605400,Is the international normalised ratio (INR) reliable?
25986020,Is zero central line-associated bloodstream infection rate sustainable?
17598882,Is breast cancer prognosis inherited?
25940336,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?
24014276,Optimism and survival: does an optimistic outlook predict better survival at advanced ages?
26113007,Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?
18222909,Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?
19836806,Should prostate specific antigen be adjusted for body mass index?
21801416,The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?
25819796,Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?
22656647,Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?
22683044,Does open access publishing increase the impact of scientific articles?
22867778,Does responsibility affect the public's valuation of health care interventions?
21658267,"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?"
20363841,Do symptoms predict COPD in smokers?
20187289,Prescriptions as a proxy for asthma in children: a good choice?
25592625,Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?
25859857,Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?
14745753,Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?
15939071,High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?
18594195,Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?
25614468,Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?
26879871,Does depression diagnosis and antidepressant prescribing vary by location?
18307476,Upstream solutions: does the supplemental security income program reduce disability in the elderly?
15151701,Profiling quality of care: Is there a role for peer review?
21569408,Does context matter for the relationship between deprivation and all-cause mortality?
23587089,School food policy at Dutch primary schools: room for improvement?
21881325,Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?
26134053,Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to Apply the Theory of Deliberate Practice?
25274085,Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?
19468282,Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?
25371231,Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?
20530150,Is cholecystectomy really an indication for concomitant splenectomy in mild hereditary spherocytosis?
26085176,MR Diagnosis of Bone Metastases at 1.5 T and 3 T: Can STIR Imaging Be Omitted?
21256734,Does pain intensity predict a poor opioid response in cancer patients?
28027677,Do prerecorded lecture VODcasts affect lecture attendance of first-yearpre-clinical Graduate Entry to Medicine students?
17595200,Is there an intrauterine influence on obesity?
27216167,Gynecological cancer alarm symptoms: is contact with specialist care associated with lifestyle and socioeconomic status?
25417760,Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?
22365295,Totally implantable venous access device placement by interventional radiologists: are prophylactic antibiotics necessary?
25779009,Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presence of interfering substances: Improvement of the NF EN 13727 European Standard?
24964725,"Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?"
20674150,Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?
22668852,Do African American women require fewer calories to maintain weight?
11882828,Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?
22979954,Failed IUD insertions in community practice: an under-recognized problem?
18507507,The promise of specialty pharmaceuticals: are they worth the price?
17323047,Does invasive diagnosis of nosocomial pneumonia during off-hours delay treatment?
25501465,Evaluation of pediatric VCUG at an academic children's hospital: is the radiographic scout image necessary?
23949294,Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?
17610439,Do hospitals provide lower quality care on weekends?
10158597,Does a dedicated discharge coordinator improve the quality of hospital discharge?
21198823,Can dobutamine stress echocardiography induce cardiac troponin elevation?
24142776,Steroids in aminoglycoside-containing ear drops: do they reduce cochlear toxicity?
22117569,Is an advance care planning model feasible in community palliative care?
19142546,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?
27096199,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?
10490564,Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?
27050505,Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?
25155638,Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?
21080127,Can implant retention be recommended for treatment of infected TKA?
23283159,Is obesity a risk factor for wheezing among adolescents?
24191126,Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?
12769830,Should tumor depth be included in prognostication of soft tissue sarcoma?
28056802,Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?
24922528,The association of puberty and young adolescent alcohol use: do parents have a moderating role?
24267613,Is the advanced age a contraindication to GERD laparoscopic surgery?
15388567,Are sports medicine journals relevant and applicable to practitioners and athletes?
19419587,Sternal plating for primary and secondary sternal closure; can it improve sternal stability?
18799291,Is the histidine triad nucleotide-binding protein 1 (HINT1) gene a candidate for schizophrenia?
19615731,Does higher body mass index contribute to worse asthma control in an urban population?
18537964,Does a physician's specialty influence the recording of medication history in patients' case notes?
25747932,Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?
25885219,Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?
26348845,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?
24487044,Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?
12377809,Is anorectal endosonography valuable in dyschesia?
16195477,Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?
16678696,Continuity of care experience of residents in an academic vascular department: are trainees learning complete surgical care?
18801797,Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?
12153648,Does birth center care during a woman's first pregnancy have any impact on her future reproduction?
17565137,Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?
26460153,Cardiac reoperations in octogenarians: Do they really benefit?
8199520,Are physicians meeting the needs of family caregivers of the frail elderly?
20130378,Is low birth weight a risk indicator for congenital cytomegalovirus infection?
8017535,Substance use and HIV-related sexual behaviors among US high school students: are they related?
24172579,Does sex influence the response to intravenous thrombolysis in ischemic stroke?
26285789,Does Molecular Genotype Provide Useful Information in the Management of Radioiodine Refractory Thyroid Cancers?
22266735,Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?
15052394,Are higher rates of depression in women accounted for by differential symptom reporting?
23264436,Follow-up of patients with new cardiovascular implantable electronic devices: are experts' recommendations implemented in routine clinical practice?
22302658,Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?
24684514,Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?
23360491,Is the processing of affective prosody influenced by spatial attention?
22350859,Can pictorial warning labels on cigarette packages address smoking-related health disparities?
7860319,Measuring hospital mortality rates: are 30-day data enough?
20497146,A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?
23571528,Sternal skin conductance: a reasonable surrogate for hot flash measurement?
22348433,Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?
20197761,Is irritable bowel syndrome a diagnosis of exclusion?
21394762,Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?
12607666,Is extended aortic replacement in acute type A dissection justifiable?
14652839,Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?
18719011,Do overweight children necessarily make overweight adults?
23621776,Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?
14655021,Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spondylitis?
28006766,Is Overexpression of Ki-67 a Prognostic Biomarker of Upper Tract Urinary Carcinoma?
19575104,Do foreign bodies migrate through the body towards the heart?
16971978,Are complex coronary lesions more frequent in patients with diabetes mellitus?
21558951,Are there effects of intrauterine cocaine exposure on delinquency during early adolescence?
24073931,Is the covering of the resection margin after distal pancreatectomy advantageous?
18472368,Does treatment duration affect outcome after radiotherapy for prostate cancer?
23992109,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?
21951591,Motor performance in chronic low back pain: is there an influence of pain-related cognitions?
15919266,Adjuvant radiation of stage III thymoma: is it necessary?
2503176,Inhibin: a new circulating marker of hydatidiform mole?
20337874,Delayed diagnosis of anorectal malformations: are current guidelines sufficient?
19198736,Is being small for gestational age a risk factor for retinopathy of prematurity?
22411435,Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?
23792130,Can magnetic resonance-ultrasound fusion biopsy improve cancer detection in enlarged prostates?
21457946,Are there progressive brain changes in schizophrenia?
25699562,Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?
19648304,Does sonographic needle guidance affect the clinical outcome of intraarticular injections?
21864397,Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?
24235894,Is there a first night effect on sleep bruxism?
25793749,Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?
10173769,Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?
20354380,Do women residents delay childbearing due to perceived career threats?
9616411,Do general practitioner hospitals reduce the utilisation of general hospital beds?
12484580,Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?
7664228,Discharging patients earlier from Winnipeg hospitals: does it adversely affect quality of care?
22233470,Does the distribution of health care benefits in Kenya meet the principles of universal coverage?
17971187,Cholesterol screening in school children: is family history reliable to choose the ones to screen?
25079920,Do parents recall and understand children's weight status information after BMI screening?
17355582,Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?
12419743,Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?
26163474,Is there a connection between sublingual varices and hypertension?
14968373,Can CT predict the level of CSF block in tuberculous hydrocephalus?
8916748,Do socioeconomic differences in mortality persist after retirement?
16361634,Women with synchronous primary cancers of the endometrium and ovary: do they have Lynch syndrome?
20605051,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?
24614851,Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?
26965932,Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?
19711462,Standardizing care in medical oncology: are Web-based systems the answer?
28196511,"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?"
24591144,Are the elderly with oropharyngeal carcinoma undertreated?
25752725,Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?
24606627,The objective structured clinical examination: can physician-examiners participate from a distance?
20629769,Is primary angioplasty an acceptable alternative to thrombolysis?
23149821,Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?
11483547,Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?
26209118,Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?
21848798,MiraLAX vs. Golytely: is there a significant difference in the adenoma detection rate?
27549226,Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?
26516021,Does evidence-based practice improve patient outcomes?
23736032,Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?
23002947,Does feeding tube insertion and its timing improve survival?
15053041,Do acute changes in heart rate by isoproterenol affect aortic stiffness in patients with hypertension?
24751724,Does ethnicity affect where people with cancer die?
21368683,Are patients with serious mental illness more likely to be admitted to nursing homes with more deficiencies in care?
16713745,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?
24669960,Does the sex of acute stroke patients influence the effectiveness of rt-PA?
8738894,Diabetes mellitus among Swedish art glass workers--an effect of arsenic exposure?
24671913,Does SYNTAX score predict in-hospital outcomes in patients with ST elevation myocardial infarction undergoing primary percutaneous coronary intervention?
23598835,Is severe pain immediately after spinal augmentation a predictor of long-term outcomes?
10834864,Risk factors for avascular necrosis of bone in patients with systemic lupus erythematosus: is there a role for antiphospholipid antibodies?
25521278,Is plate clearing a risk factor for obesity?
23422012,Is vancomycin MIC creep a worldwide phenomenon?
24577079,Does strategy training reduce age-related deficits in working memory?
12848629,Is a 9-month treatment sufficient in tuberculous enterocolitis?
22849512,Are neighbourhood social capital and availability of sports facilities related to sports participation among Dutch adolescents?
27642458,Did the call for boycott by the Catholic bishops affect the polio vaccination coverage in Kenya in 2015?
25503376,Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?
24318956,Is digoxin use for cardiovascular disease associated with risk of prostate cancer?
26044262,Are income-related differences in active travel associated with physical environmental characteristics?
18670651,"Do the changes in the serum levels of IL-2, IL-4, TNFalpha, and IL-6 reflect the inflammatory activity in the patients with post-ERCP pancreatitis?"
12607120,Does anastomotic leakage affect functional outcome after rectal resection for cancer?
21914194,Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?
24516646,Is the determination of specific IgE against components using ISAC 112 a reproducible technique?
28247485,Is the first urinary albumin/creatinine ratio (ACR) in women with suspected preeclampsia a prognostic factor for maternal and neonatal adverse outcome?
16647887,Are women who are treated for hypothyroidism at risk for pregnancy complications?
16498158,Is atropine needed with ketamine sedation?
24622801,Does implant coating with antibacterial-loaded hydrogel reduce bacterial colonization and biofilm formation in vitro?
11247896,Can APC mutation analysis contribute to therapeutic decisions in familial adenomatous polyposis?
19145527,Do emergency medical services professionals think they should participate in disease prevention?
18568239,Is the ability to perform transurethral resection of the prostate influenced by the surgeon's previous experience?
22075911,Is there a differential in the dental health of new recruits to the British Armed Forces?
22768311,Is human cytomegalovirus infection associated with hypertension?
23359100,Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?
22303473,Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?
24270957,Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?
9920954,"Do ""America's Best Hospitals"" perform better for acute myocardial infarction?"
24739448,Have antiepileptic drug prescription claims changed following the FDA suicidality warning?
21592383,Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?
11053064,Fatigue in primary Sjögren's syndrome: is there a link with the fibromyalgia syndrome?
24098953,Are IgM-enriched immunoglobulins an effective adjuvant in septic VLBW infants?
17329379,Are the GFRUP's recommendations for withholding or withdrawing treatments in critically ill children applicable?
27288618,Is inhaled prophylactic heparin useful for prevention and Management of Pneumonia in ventilated ICU patients?
25810292,Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?
16216859,Does a well developed collateral circulation predispose to restenosis after percutaneous coronary intervention?
22521460,Does route of delivery affect maternal and perinatal outcome in women with eclampsia?
19578820,Are opioid dependence and methadone maintenance treatment (MMT) documented in the medical record?
21228436,Can teaching medical students to investigate medication errors change their attitudes towards patient safety?
23506394,"Malnutrition, a new inducer for arterial calcification in hemodialysis patients?"
15483019,Is eligibility for a chemotherapy protocol a good prognostic factor for invasive bladder cancer after radical cystectomy?
24783217,Can ki-67 play a role in prediction of breast cancer patients' response to neoadjuvant chemotherapy?
17916877,Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?
22513023,Do Indigenous Australians age prematurely?
27146470,Are tuberculosis patients adherent to prescribed treatments in China?
23147106,Is peak concentration needed in therapeutic drug monitoring of vancomycin?
