question_id,pubmed_id,dataset,question,answer,ground_truth
149,28056802,PubmedQA,Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,"Yes, non‑HDL‑C predicts long‑term MACEs better than LDL‑C in post‑AMI patients.",yes
158,25885219,PubmedQA,Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,"Yes, the observed shifts—lower plasma creatine, reduced urinary excretion, increased renal AGAT, altered hepatic GAMT, higher heart and kidney creatine, and tissue‑specific CrT1 changes—indicate a maternal metabolic adaptation to supply creatine for fetal growth and maternal tissue demands during gestation.",yes
161,12377809,PubmedQA,Is anorectal endosonography valuable in dyschesia?,"Yes, linear anorectal endosonography is valuable in dyschesia, providing clear visualization of the anal sphincter and puborectalis, allowing accurate measurement of length and thickness at rest and during straining, and detecting paradoxical contraction or absent relaxation that characterizes pelvic‑floor dyssynergia.",yes
166,17565137,PubmedQA,Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,"Yes, the counter‑industry ad changed non‑smokers’ view of movie smoking and lowered their future smoking intent, but it had no effect on smokers’ attitudes and actually increased the proportion of smokers who felt unlikely to quit.",yes
177,24684514,PubmedQA,Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,"No, individualized targets based on ASA score and baseline Hb are recommended.",no
178,23360491,PubmedQA,Is the processing of affective prosody influenced by spatial attention?,"Yes, spatial attention modulates early ERP responses to affective prosody, but later processing is largely independent.",maybe
181,20497146,PubmedQA,A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,"Yes, maximal healing occurs when intragastric pH > 4 for about 12–17 h (≈50–70 % of a 24‑h period); beyond that no further benefit.",yes
185,21394762,PubmedQA,Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,"Yes, pelvic pain is associated with defecatory symptoms in women with pelvic organ prolapse, as shown by increased odds of pain with higher CRADI‑8 scores and significant links to symptoms such as pain with bowel movements, fecal urgency, incomplete evacuation, and straining.",yes
193,16971978,PubmedQA,Are complex coronary lesions more frequent in patients with diabetes mellitus?,"Yes, complex coronary lesions (bifurcation and ostial) are significantly more frequent in patients with diabetes mellitus.",yes
198,21951591,PubmedQA,Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,"Yes, pain‑related cognitions influence motor performance in chronic low back pain, as shown by worse reaction and movement times in patients, especially when pain expectations are provoked.",yes
203,22411435,PubmedQA,Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?,"Yes, the higher risk of serious infections with infliximab versus etanercept appears mainly in patients younger than 65 years; no clear variation was seen by sex, race/ethnicity, BMI, or smoking.",yes
221,26163474,PubmedQA,Is there a connection between sublingual varices and hypertension?,"Yes, sublingual varices are associated with hypertension (OR ≈ 2.25, sensitivity ≈ 0.48, specificity ≈ 0.82).",yes
234,23149821,PubmedQA,Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,"Maybe, screening HIV‑infected patients with gated myocardial perfusion SPECT could be considered for those at high cardiovascular risk, as the study found a low but notable prevalence of silent myocardial ischemia.",maybe
236,26209118,PubmedQA,Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,"No, unenhanced fat‑suppressed T1‑weighted MRI does not reliably distinguish bone infarcts from acute osteomyelitis in children with sickle cell disease; high marrow signal appears in both, and other unenhanced MRI parameters are not discriminative.",no
244,21368683,PubmedQA,Are patients with serious mental illness more likely to be admitted to nursing homes with more deficiencies in care?,"Yes, patients with serious mental illness are more likely to be admitted to nursing homes with higher deficiency citations for overall and health‑related care.",yes
246,24669960,PubmedQA,Does the sex of acute stroke patients influence the effectiveness of rt-PA?,"No, sex does not influence rt‑PA effectiveness.",no
257,25503376,PubmedQA,Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?,"Yes, airway surgery reduces serum lipid levels in OSA patients, especially those with pre‑operative dyslipidemia, improving TG, LDL, HDL and markedly lowering LP(a).",yes
266,16498158,PubmedQA,Is atropine needed with ketamine sedation?,"Yes, atropine is recommended as an adjunct to intramuscular ketamine sedation in children because it significantly reduces hypersalivation and may lower post‑procedural vomiting, with no serious adverse events reported.",yes
273,23359100,PubmedQA,Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,"Yes, etoricoxib 90 mg once daily for seven days effectively prevented heterotopic ossification after cemented primary total hip arthroplasty.",yes
278,21592383,PubmedQA,Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,"No, the CCB falls short of fully addressing caregiver burden; eligibility limits, low compensation, and short duration undermine its effectiveness as a public health response.",no
279,11053064,PubmedQA,Fatigue in primary SjÃ¶gren's syndrome: is there a link with the fibromyalgia syndrome?,"Yes, fatigue is strongly linked to fibromyalgia in primary Sjögren’s syndrome; 12 % of pSS patients had FM, all FM patients reported fatigue, and fatigue prevalence (68 %) was higher in pSS than in lupus (50 %).",no
7,23806388,PubmedQA,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,"Yes, the study found that the four BCR‑nomograms (DPC, Kattan postoperative, JHH, CPDR/CaPSURE) predicted prostate‑cancer‑specific mortality and aggressive BCR with higher accuracy than they predicted overall BCR.",yes
11,26298839,PubmedQA,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,"Yes, the randomized controlled trial showed significant improvements in voice function and quality of life in the genuine acupuncture group compared to sham and no‑treatment controls.",yes
58,24433626,PubmedQA,Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,"Yes, prevalence rose, indicating Medicare beneficiaries are getting sicker.",yes
88,25940336,PubmedQA,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,"Yes, certain pre‑residency metrics—USMLE scores, OITE results, academic standing—correlate with objective performance measures, though predictive power varies across studies.",yes
141,27096199,PubmedQA,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,"No, viral co‑infection does not significantly increase the severity of acute respiratory infection in children.",no
212,20354380,PubmedQA,Do women residents delay childbearing due to perceived career threats?,"Yes, many women residents report delaying childbearing because they fear career setbacks, such as reduced training opportunities, increased complications, or interference with career plans.",yes
227,26965932,PubmedQA,Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,"Maybe, DES (E‑ZES) still shows lower ischemic events and stent‑thrombosis rates than BMS, even with short DAPT, but BMS can be justified in selected high‑bleeding‑risk patients where the bleeding risk outweighs the ischemic benefit.",yes
291,17916877,PubmedQA,Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?,"Yes, a 15‑min infusion lowers akathisia incidence (29.3 % vs 6.5 %) without altering headache relief—pain scores improved similarly for both 2‑min bolus and 15‑min infusion.",yes
9,2409.01631v3,OpenRAGBench,What is the shape of the Doppler spectrum for mobile antenna motion perpendicular to the mean scattering direction?,Gaussian‑like (approximately a zero‑mean Gaussian).,The Doppler spectrum exhibits a Gaussian shape for mobile antenna motion perpendicular to the mean scattering direction.
49,2412.20570v1,OpenRAGBench,What method has been developed to solve electro-diffusion equations for ionic currents?,"A numerical method based on the Poisson‑Nernst‑Planck equations is used, solved with COMSOL Multiphysics via its Coefficient‑Form PDE module.",A method has been developed using regular expansions and Green's function representations to solve Poisson-Nernst-Planck equations with ionic currents entering through narrow window channels. This approach allows for deriving ionic profiles and understanding voltage drops under different charge regimes.
85,2403.01012v4,OpenRAGBench,What type of processes do individual idiosyncratic noises form in classical mean field games?,Independent real‑valued Brownian motions.,"In classical mean field games, individual idiosyncratic noises form a sequence of independent real-valued Brownian motions."
56,2410.23587v3,OpenRAGBench,Why might complex moments be relevant despite not being commonly used in econometrics?,"Complex moments give integral formulas for fractional and absolute moments that avoid difficult derivatives of the MGF or CF.   They extend the MGF to complex arguments, linking to Mellin transforms, and thus enable moment calculations in dynamic models where the conditional MGF is defined recursively.   Moreover, equating these integrals with known moments yields new identities (e.g., for the reciprocal Gamma function).  Hence, despite rarity in econometrics, they offer powerful tools for fractional‑moment analysis and model‑identification.","Complex moments extend the applicability of moment calculations into areas like statistical mechanics and quantum physics. They offer additional insights that can be integrated with minimal adaptation into econometric models, potentially uncovering new relationships or identities within data."
95,BioASQ_Batch_244,BioASQ,"Have high values of blood pressure, body mass index (BMI), and non-high-density lipoprotein (HDL) cholesterol been associated with increased dementia risk in late life?","No, high values of blood pressure, BMI, and non‑HDL cholesterol are not linked to increased dementia risk in late life; low values of these factors are the ones associated with higher risk.",no
4,BioASQ_Batch_007,BioASQ,Which gene shapes the 3D enhancer network of the developing T cell genome?,"Yes, SATB1.",[['SATB1']]
25,BioASQ_Batch_070,BioASQ,Which database serves as a catalogue of full-length 16S rRNA gene sequences from bacteria in wastewater treatment plants?,"Yes, MiDAS 4.",[['MiDAS 4']]
26,BioASQ_Batch_128,BioASQ,What is currently the number of germline associations with clonal hematopoiesis in European-ancestry populations?,"Yes, 14.",[['14']]
59,BioASQ_Batch_157,BioASQ,Which ensemble machine-learning framework has been developed for predicting druggability?,"Yes, DrugnomeAI.",[['DrugnomeAI']]
71,BioASQ_Batch_192,BioASQ,Typical age range of onset of systemic scleroderma.,"Yes, 30–50 years.",[['50+-16 years']]
88,BioASQ_Batch_237,BioASQ,Which biomedical challenge has been designed to facilitate interaction between biomedical experts and automated question-answering systems in order to promote COVID-19 research?,"Yes, BioASQ Synergy.",[['BioASQ Synergy']]
90,BioASQ_Batch_237,BioASQ,Which computational method exists for prediction of transcriptional condensate-associated genomic regions?,"Yes, SEGCOND.","[['SEGCOND', 'CondSigDetector', 'condsigdetector']]"
